;;;;;;;
;;;;;;;
TRÁFICO EN AUTOPISTAS ESTATALES DE PEAJE;;;;;;;
;;;;;;;
MONTMELO-LA JUNQUERA A-7;;;;;;;
;;;;;;;
;;;;;;;
2016;136,0;45.798;4,2;10.412;3,0;;
2015;136,0;43.949;5,3;10.110;4,0;;
2014;137,0;41.718;5,7;9.718;10,7;;
2013;136,0;39.479;0,8;8.775;12,7;;
2012;136,0;39.166;-6,0;7.788;-4,7;;
2011;136,0;41.656;-4,3;8.171;-0,4;;
2010;136,0;43.522;-1,6;8.207;-1,4;;
2009;136,0;44.214;-5,4;8.327;-15,1;;
2008;136,0;46.761;-4,9;9.809;-7,9;;
2007;136,0;49.180;4,4;10.654;6,4;;
2006;136,0;47.122;4,9;10.011;4,1;;
2005;136,0;44.918;3,7;9.620;1,2;;
2004;136,2;43.324;3,8;9.508;3,2;;
2003;136,2;41.756;3,2;9.210;3,9;;
2002;136,2;40.464;6,8;8.864;5,6;;
2001;136,2;37.901;5,4;8.395;3,3;;
2000;136,2;35.955;6,3;8.128;6,8;;
1999;136,2;33.815;10,1;7.610;8,7;;
1998;136,2;30.717;5,8;6.999;5,3;;
1997;136,2;29.021;7,2;6.648;13,3;;
1996;136,2;27.076;-5,0;5.868;7,4;;
1995;136,2;28.509;-0,2;5.462;4,6;;
1994;149,7;28.554;1,5;5.221;7,1;;
1993;149,7;28.124;-1,3;4.874;-4,0;;
1992;149,7;28.488;2,5;5.078;8,4;;
1991;149,7;27.802;4,3;4.685;2,0;;
1990;149,7;26.660; ;4.591; ;;
;;;;;;;
2017 Mar;136,0;40.347;-1,9;12.182;11,1;;
Feb;136,0;38.401;3,9;11.593;2,8;;
Ene;136,0;35.252;1,3;10.495;4,6;;
2016 Dic;136,0;38.250;4,2;9.982;1,4;;
Nov;136,0;38.332;5,2;11.257;4,6;;
Oct;136,0;42.805;3,5;10.051;0,8;;
Sep;136,0;47.164;5,8;9.849;5,9;;
Ago;136,0;68.198;0,9;8.149;8,5;;
Jul;136,0;63.209;6,2;10.075;-4,2;;
Jun;136,0;48.902;6,2;11.087;2,9;;
May;136,0;45.944;0,2;10.948;5,9;;
Abr;136,0;43.163;-1,7;11.391;7,0;;
Mar;136,0;41.109;12,2;10.960;-1,3;;
Feb;136,0;36.943;6,7;11.282;3,6;;
Ene;136,0;34.806;5,5;10.035;2,7;;
2015 Dic;136,0;36.706;3,5;9.840;3,9;;
Nov;136,0;36.442;3,8;10.764;6,0;;
Oct;136,0;41.377;5,7;9.973;1,7;;
Sep;136,0;44.597;2,8;9.303;3,9;;
Ago;136,0;67.612;3,5;7.513;4,9;;
Jul;136,0;59.530;8,8;10.514;4,3;;
Jun;136,0;46.056;2,2;10.779;7,3;;
May;136,0;45.872;10,5;10.341;2,8;;
Abr;136,0;43.908;6,6;10.644;2,1;;
Mar;136,0;36.623;4,8;11.107;7,1;;
Feb;136,0;34.609;6,4;10.889;3,6;;
Ene;136,0;33.001;5,7;9.767;0,9;;
2014 Dic;136,0;35.480;7,7;9.470;7,8;;
Nov;136,0;35.103;2,4;10.153;3,1;;
Oct;136,0;39.164;6,1;9.805;3,5;;
Sep;136,0;43.401;4,0;8.957;6,3;;
Ago;136,0;65.327;4,6;7.159;1,0;;
Jul;136,0;54.719;1,8;10.082;4,2;;
Jun;136,0;45.063;4,8;10.048;4,9;;
May;136,0;41.517;1,9;10.056;2,9;;
Abr;136,0;41.178;14,6;10.428;15,0;;
Mar;136,0;34.960;3,9;10.367;31,9;;
Feb;136,0;32.529;12,6;10.508;29,3;;
Ene;136,0;31.225;10,0;9.678;27,0;;
2013 Dic;136,0;32.951;6,2;8.785;25,9;;
Nov;136,0;34.268;6,4;9.845;23,9;;
Oct;136,0;36.915;9,1;9.471;25,1;;
Sep;136,0;41.729;2,0;8.428;23,3;;
Ago;136,0;62.432;6,9;7.086;15,8;;
Jul;136,0;53.743;-1,6;9.674;22,6;;
Jun;136,0;43.016;0,6;9.575;15,0;;
May;136,0;40.730;3,1;9.768;15,8;;
Abr;136,0;35.933;-10,2;9.068;10,0;;
Mar;136,0;33.634;-1,9;7.858;-10,4;;
Feb;136,0;28.900;-6,7;8.127;-5,2;;
Ene;136,0;28.384;-8,0;7.618;-2,7;;
2012 Dic;136,0;31.037;-7,6;6.978;-8,9;;
Nov;136,0;32.207;-3,7;7.943;-7,5;;
Oct;136,0;33.822;-11,4;7.570;-2,9;;
Sep;136,0;40.927;-5,7;6.838;-11,6;;
Ago;136,0;58.421;-3,5;6.118;-5,9;;
Jul;136,0;54.608;-7,7;7.893;-2,0;;
Jun;136,0;42.744;-6,1;8.325;0,3;;
May;136,0;39.501;-1,0;8.433;-5,9;;
Abr;136,0;40.036;-6,1;8.241;-3,3;;
Mar;136,0;34.301;-3,6;8.770;-3,5;;
Feb;136,0;30.991;-11,0;8.570;-5,3;;
Ene;136,0;30.850;-4,4;7.833;-0,7;;
2011 Dic;136,0;33.578;-5,3;7.661;-3,5;;
Nov;136,0;33.460;-7,9;8.585;-3,4;;
Oct;136,0;38.178;-4,5;7.800;-3,5;;
Sep;136,0;43.403;-0,7;7.734;0,2;;
Ago;136,0;60.556;-4,6;6.503;5,3;;
Jul;136,0;59.182;-3,1;8.051;-3,2;;
Jun;136,0;45.540;-0,4;8.300;-4,8;;
May;136,0;39.914;-9,9;8.959;4,4;;
Abr;136,0;42.648;-5,2;8.521;-1,0;;
Mar;136,0;35.584;-7,1;9.092;-1,1;;
Feb;136,0;34.836;-1,7;9.050;3,8;;
Ene;136,0;32.283;-1,1;7.890;3,2;;
2010 Dic;136,0;35.455;-1,8;7.935;1,4;;
Nov;136,0;36.343;-1,0;8.883;1,1;;
Oct;136,0;39.972;-1,3;8.084;-2,1;;
Sep;136,0;43.716;-1,5;7.718;-1,4;;
Ago;136,0;63.456;-2,9;6.174;2,2;;
Jul;136,0;61.058;0,4;8.319;-3,3;;
