;;;;;;;
;;;;;;;
TRÁFICO EN AUTOPISTAS ESTATALES DE PEAJE;;;;;;;
;;;;;;;
VILLALBA-ADANERO A-6;;;;;;;
;;;;;;;
;;;;;;;
2016;69,6;27.719;4,0;3.349;6,2;;
2015;69,6;26.641;6,6;3.154;11,0;;
2014;69,6;24.993;2,3;2.841;3,7;;
2013;69,6;24.430;-4,3;2.739;2,1;;
2012;69,6;25.537;-11,0;2.682;-14,5;;
2011;69,6;28.684;-6,0;3.138;-8,6;;
2010;69,6;30.509;-2,6;3.434;-6,4;;
2009;69,6;31.325;-4,5;3.668;-15,9;;
2008;69,6;32.787;-4,7;4.363;-8,8;;
2007;69,5;34.414;4,3;4.786;1,7;;
2006;69,6;32.998;7,2;4.708;7,9;;
2005;69,6;30.770;1,5;4.362;5,2;;
2004;69,5;30.301;5,7;4.145;2,5;;
2003;69,5;28.662;5,2;4.043;6,1;;
2002;69,5;27.238;6,9;3.812;3,2;;
2001;69,5;25.482;4,8;3.694;6,8;;
2000;69,5;24.325;6,1;3.460;6,4;;
1999;69,5;22.918;10,6;3.252;8,6;;
1998;69,5;20.715;7,7;2.994;5,7;;
1997;69,5;19.235;7,7;2.833;10,8;;
1996;69,5;17.866;2,9;2.558;1,1;;
1995;69,5;17.358;4,4;2.530;4,3;;
1994;69,5;16.628;0,8;2.426;5,5;;
1993;69,5;16.504;0,5;2.299;-2,3;;
1992;69,5;16.415;5,2;2.353;0,4;;
1991;69,5;15.610;11,5;2.343;8,4;;
1990;69,5;14.005; ;2.161; ;;
;;;;;;;
2017 Mar;69,6;24.944;-12,8;3.675;10,1;;
Feb;69,6;22.778;6,4;3.464;2,2;;
Ene;69,6;21.830;3,5;3.254;13,2;;
2016 Dic;69,6;28.064;4,9;3.133;2,4;;
Nov;69,6;24.306;1,3;3.611;7,9;;
Oct;69,6;27.776;3,1;3.407;-1,8;;
Sep;69,6;29.871;5,8;3.568;1,2;;
Ago;69,6;38.042;1,6;3.040;6,5;;
Jul;69,6;36.823;9,9;3.402;-1,6;;
Jun;69,6;27.289;3,1;3.688;11,0;;
May;69,6;26.085;2,8;3.388;11,3;;
Abr;69,6;22.648;-16,4;3.386;15,9;;
Mar;69,6;28.606;22,6;3.337;8,6;;
Feb;69,6;21.398;6,7;3.389;10,6;;
Ene;69,6;21.088;6,2;2.874;6,0;;
2015 Dic;69,6;26.757;5,3;3.059;13,8;;
Nov;69,6;23.985;5,2;3.348;17,1;;
Oct;69,6;26.928;11,9;3.471;10,0;;
Sep;69,6;28.223;5,5;3.525;13,7;;
Ago;69,6;37.426;6,1;2.855;18,0;;
Jul;69,6;33.500;11,8;3.458;15,0;;
Jun;69,6;26.470;4,2;3.324;12,5;;
May;69,6;25.380;8,0;3.045;4,1;;
Abr;69,6;27.102;0,5;2.921;5,0;;
Mar;69,6;23.341;12,2;3.073;12,2;;
Feb;69,6;20.053;3,7;3.063;6,9;;
Ene;69,6;19.865;3,6;2.711;3,9;;
2014 Dic;69,6;25.403;4,3;2.688;6,7;;
Nov;69,6;22.807;1,6;2.859;1,5;;
Oct;69,6;24.059;1,6;3.156;1,4;;
Sep;69,6;26.748;0,3;3.099;8,0;;
Ago;69,6;35.289;3,3;2.419;-1,3;;
Jul;69,6;29.959;0,2;3.008;2,3;;
Jun;69,6;25.402;1,5;2.955;5,3;;
May;69,6;23.498;0,4;2.925;4,1;;
Abr;69,6;26.959;29,3;2.783;0,9;;
Mar;69,6;20.796;-13,8;2.739;13,6;;
Feb;69,6;19.333;0,9;2.866;3,4;;
Ene;69,6;19.180;1,9;2.608;-0,3;;
2013 Dic;69,6;24.347;2,8;2.519;8,5;;
Nov;69,6;22.438;2,6;2.818;7,6;;
Oct;69,6;23.691;-2,5;3.112;12,0;;
Sep;69,6;26.657;-1,0;2.869;6,1;;
Ago;69,6;34.158;0,6;2.451;-1,1;;
Jul;69,6;29.912;-5,6;2.941;3,9;;
Jun;69,6;25.016;-4,8;2.806;-1,0;;
May;69,6;23.400;-1,2;2.810;1,1;;
Abr;69,6;20.849;-23,7;2.759;5,3;;
Mar;69,6;24.116;1,5;2.411;-12,1;;
Feb;69,6;19.159;-9,0;2.771;-2,3;;
Ene;69,6;18.821;-12,9;2.617;-0,6;;
2012 Dic;69,6;23.691;-12,9;2.322;-12,5;;
Nov;69,6;21.876;-8,7;2.620;-15,1;;
Oct;69,6;24.301;-14,0;2.779;-10,6;;
Sep;69,6;26.918;-14,4;2.703;-18,6;;
Ago;69,6;33.953;-11,9;2.479;-18,6;;
Jul;69,6;31.673;-14,1;2.831;-10,0;;
Jun;69,6;26.284;-10,4;2.834;-16,3;;
May;69,6;23.686;-8,4;2.780;-15,4;;
Abr;69,6;27.329;-12,8;2.620;-14,7;;
Mar;69,6;23.770;0,4;2.743;-18,4;;
