;;;;;;;
;;;;;;;
TRÁFICO EN AUTOPISTAS ESTATALES DE PEAJE;;;;;;;
;;;;;;;
SEVILLA-CADIZ A-4;;;;;;;
;;;;;;;
;;;;;;;
2016;93,8;20.547;6,0;1.229;5,0;;
2015;93,8;19.376;7,8;1.171;19,1;;
2014;93,8;17.971;2,7;983;1,3;;
2013;93,8;17.504;-8,0;970;-9,2;;
2012;93,8;19.035;-9,5;1.068;-8,3;;
2011;93,8;21.029;-7,2;1.165;-14,0;;
2010;93,8;22.671;-4,6;1.354;-9,9;;
2009;93,8;23.774;-1,7;1.502;-18,1;;
2008;93,8;24.173;-3,8;1.833;-9,1;;
2007;93,8;25.138;3,7;2.016;-5,9;;
2006;93,8;24.244;10,9;2.142;12,7;;
2005;93,8;21.859;11,3;1.900;14,6;;
2004;93,5;19.642;9,8;1.658;6,5;;
2003;93,5;17.897;8,2;1.557;11,7;;
2002;93,5;16.534;8,6;1.394;12,3;;
2001;93,5;15.218;14,4;1.241;23,1;;
2000;93,5;13.300;12,5;1.008;16,1;;
1999;93,5;11.825;17,1;868;24,9;;
1998;93,5;10.101;29,0;695;43,9;;
1997;93,5;7.828;5,3;483;2,5;;
1996;93,5;7.434;-2,8;471;-3,1;;
1995;93,5;7.648;-4,1;486;-3,8;;
1994;93,5;7.978;-0,3;505; ;;
1993;93,5;8.005;-13,1;505;-17,8;;
1992;93,5;9.214;18,3;614;14,8;;
1991;93,5;7.791;14,0;535;13,6;;
1990;93,5;6.835; ;471; ;;
;;;;;;;
2017 Mar;93,8;17.549;-6,3;1.396;13,4;;
Feb;93,8;17.282;3,4;1.271;5,1;;
Ene;93,8;15.393;6,9;1.100;9,9;;
2016 Dic;93,8;16.985;-0,3;1.117;-1,0;;
Nov;93,8;16.283;3,7;1.247;-3,3;;
Oct;93,8;18.433;7,0;1.248;-6,2;;
Sep;93,8;23.065;10,8;1.244;-4,3;;
Ago;93,8;29.769;2,2;1.114;-7,2;;
Jul;93,8;30.676;9,5;1.286;-4,1;;
Jun;93,8;22.763;7,9;1.421;21,2;;
May;93,8;19.987;-0,1;1.320;12,6;;
Abr;93,8;18.450;0,1;1.322;21,2;;
Mar;93,8;18.735;17,7;1.231;10,8;;
Feb;93,8;16.716;8,0;1.209;15,9;;
Ene;93,8;14.406;8,9;1.001;16,0;;
2015 Dic;93,8;17.030;11,1;1.128;23,3;;
Nov;93,8;15.704;12,0;1.290;33,5;;
Oct;93,8;17.229;9,0;1.331;29,9;;
Sep;93,8;20.824;8,0;1.300;29,4;;
Ago;93,8;29.119;4,7;1.200;30,3;;
Jul;93,8;28.022;11,6;1.341;27,0;;
Jun;93,8;21.097;4,7;1.172;10,7;;
May;93,8;20.001;7,4;1.172;8,5;;
Abr;93,8;18.440;3,1;1.091;7,0;;
Mar;93,8;15.916;7,6;1.111;12,2;;
Feb;93,8;15.478;12,3;1.043;12,0;;
Ene;93,8;13.231;4,6;863;4,7;;
2014 Dic;93,8;15.335;3,3;915;6,9;;
Nov;93,8;14.016;-1,9;966;6,0;;
Oct;93,8;15.809;3,7;1.025;3,2;;
Sep;93,8;19.282;3,5;1.005;6,9;;
Ago;93,8;27.812;5,6;921;9,5;;
Jul;93,8;25.113;2,5;1.056;4,1;;
Jun;93,8;20.152;1,7;1.059;1,8;;
May;93,8;18.615;3,3;1.080;-3,2;;
Abr;93,8;17.885;13,3;1.020;-7,5;;
Mar;93,8;14.785;-1,1;990;2,4;;
Feb;93,8;13.777;-5,8;931;-5,2;;
Ene;93,8;12.649;-0,4;824;-6,8;;
2013 Dic;93,8;14.852;-0,9;856;-8,4;;
Nov;93,8;14.281;1,1;911;-7,7;;
Oct;93,8;15.240;-4,8;993;-7,2;;
Sep;93,8;18.637;-5,6;940;-8,3;;
Ago;93,8;26.327;-1,7;841;-15,6;;
Jul;93,8;24.492;-10,2;1.014;-12,1;;
Jun;93,8;19.818;-10,6;1.040;-11,4;;
May;93,8;18.012;-6,3;1.116;-7,5;;
Abr;93,8;15.781;-15,5;1.103;-1,7;;
Mar;93,8;14.950;-11,7;967;-15,4;;
Feb;93,8;14.627;-15,5;982;-6,6;;
Ene;93,8;12.704;-15,6;884;-6,2;;
2012 Dic;93,8;14.989;-14,1;934;-10,3;;
Nov;93,8;14.122;-13,9;987;-13,6;;
Oct;93,8;16.013;-14,3;1.070;-6,5;;
Sep;93,8;19.748;-13,2;1.025;-10,4;;
Ago;93,8;26.771;-8,3;997;-8,4;;
Jul;93,8;27.267;-7,9;1.154;-6,5;;
Jun;93,8;22.174;-6,9;1.174;-12,5;;
May;93,8;19.222;-4,6;1.207;-7,9;;
Abr;93,8;18.669;-11,9;1.122;-8,3;;
Mar;93,8;16.929;-6,6;1.143;-8,6;;
Feb;93,8;17.303;-8,7;1.051;-4,7;;
Ene;93,8;15.052;-4,9;942;-1,7;;
2011 Dic;93,8;17.449;-1,3;1.041;-2,9;;
Nov;93,8;16.406;-9,4;1.142;-8,6;;
Oct;93,8;18.682;-9,6;1.144;-15,1;;
