;;;;;;;
;;;;;;;
TRÁFICO EN AUTOPISTAS ESTATALES DE PEAJE;;;;;;;
;;;;;;;
TARRAGONA-VALENCIA A-7;;;;;;;
;;;;;;;
;;;;;;;
2016;225,3;18.579;7,2;3.526;-0,5;;
2015;225,3;17.325;9,7;3.542;16,8;;
2014;225,3;15.797;1,7;3.033;9,5;;
2013;225,3;15.538;-6,0;2.769;-6,7;;
2012;225,3;16.528;-12,2;2.967;-12,9;;
2011;225,3;18.833;-6,3;3.408;-4,9;;
2010;225,3;20.091;1,9;3.582;-1,2;;
2009;225,3;19.723;-11,0;3.627;-22,4;;
2008;225,3;22.155;-11,8;4.676;-14,3;;
2007;225,3;25.110;-0,4;5.454;3,6;;
2006;225,3;25.215;7,4;5.267;11,2;;
2005;225,3;23.482;-1,9;4.736;-4,3;;
2004;223,3;23.932;2,3;4.951;1,6;;
2003;223,3;23.396;2,6;4.875;-0,2;;
2002;223,3;22.796;3,6;4.885;4,6;;
2001;223,3;22.004;7,6;4.668;4,7;;
2000;223,3;20.453;7,1;4.459;8,5;;
1999;223,3;19.092;14,4;4.110;14,2;;
1998;223,3;16.692;17,7;3.600;27,5;;
1997;223,3;14.186;8,5;2.824;20,0;;
1996;223,3;13.070;1,3;2.353;-0,1;;
1995;223,3;12.907;3,5;2.356;4,6;;
1994;223,3;12.469;1,1;2.252;6,0;;
1993;223,3;12.336;-4,3;2.124;-6,9;;
1992;223,3;12.894;-1,1;2.281;-0,9;;
1991;223,3;13.043;4,3;2.302;5,1;;
1990;223,3;12.501; ;2.191; ;;
;;;;;;;
2017 Mar;225,3;16.092;-14,9;4.238;12,5;;
Feb;225,3;14.743;5,1;4.024;2,7;;
Ene;225,3;14.036;3,6;3.705;2,0;;
2016 Dic;225,3;16.596;7,9;3.781;6,1;;
Nov;225,3;15.283;16,0;4.068;13,5;;
Oct;225,3;17.415;8,4;3.575;7,7;;
Sep;225,3;19.168;12,9;3.114;6,9;;
Ago;225,3;32.960;0,6;2.553;3,7;;
Jul;225,3;26.690;11,8;3.207;-10,0;;
Jun;225,3;16.914;6,5;3.478;-3,9;;
May;225,3;15.910;5,4;3.535;-4,7;;
Abr;225,3;14.979;-13,2;3.719;-1,0;;
Mar;225,3;18.908;26,2;3.767;-9,1;;
Feb;225,3;14.031;6,8;3.919;-5,0;;
Ene;225,3;13.548;6,5;3.631;-4,0;;
2015 Dic;225,3;15.377;6,2;3.562;-2,3;;
Nov;225,3;13.172;6,0;3.583;-0,2;;
Oct;225,3;16.069;13,9;3.320;2,8;;
Sep;225,3;16.979;6,8;2.914;12,8;;
Ago;225,3;32.761;6,2;2.462;14,8;;
Jul;225,3;23.883;13,8;3.563;23,6;;
Jun;225,3;15.887;6,8;3.619;22,7;;
May;225,3;15.097;13,4;3.709;19,7;;
Abr;225,3;17.253;4,9;3.758;19,3;;
Mar;225,3;14.977;19,3;4.146;33,7;;
Feb;225,3;13.132;13,7;4.126;32,4;;
Ene;225,3;12.716;10,1;3.782;29,6;;
2014 Dic;225,3;14.481;9,8;3.646;31,1;;
Nov;225,3;12.421;2,8;3.589;24,1;;
Oct;225,3;14.112;6,1;3.231;19,1;;
Sep;225,3;15.899;-1,1;2.583;12,2;;
Ago;225,3;30.851;3,9;2.145;5,1;;
Jul;225,3;20.984;0,6;2.882;7,9;;
Jun;225,3;14.880;-1,0;2.950;6,4;;
May;225,3;13.317;-2,4;3.098;7,4;;
Abr;225,3;16.448;22,6;3.150;5,9;;
Mar;225,3;12.556;-15,3;3.102;4,7;;
Feb;225,3;11.547;-1,2;3.117;-0,9;;
Ene;225,3;11.548;-4,6;2.918;-6,4;;
2013 Dic;225,3;13.193;-3,6;2.782;-4,9;;
Nov;225,3;12.080;-4,0;2.892;-6,8;;
Oct;225,3;13.295;-5,3;2.713;-3,4;;
Sep;225,3;16.069;-4,0;2.302;-3,7;;
Ago;225,3;29.691;7,4;2.040;-1,1;;
Jul;225,3;20.864;-8,2;2.670;-0,6;;
Jun;225,3;15.036;-8,3;2.772;-8,0;;
May;225,3;13.651;-8,3;2.885;-11,5;;
Abr;225,3;13.415;-23,3;2.974;-5,5;;
Mar;225,3;14.825;-1,2;2.963;-14,7;;
Feb;225,3;11.685;-11,5;3.145;-8,5;;
Ene;225,3;12.103;-11,3;3.117;-6,2;;
2012 Dic;225,3;13.685;-14,5;2.924;-15,3;;
Nov;225,3;12.585;-13,2;3.102;-14,6;;
Oct;225,3;14.042;-12,7;2.808;-10,3;;
Sep;225,3;16.730;-12,6;2.391;-17,2;;
Ago;225,3;27.647;-9,9;2.062;-14,2;;
