;;;;;;;
;;;;;;;
TRÁFICO EN AUTOPISTAS ESTATALES DE PEAJE;;;;;;;
;;;;;;;
VALENCIA-ALICANTE A-7;;;;;;;
;;;;;;;
;;;;;;;
2016;148,5;18.105;6,0;1.097;3,9;;
2015;148,5;17.086;4,8;1.056;2,2;;
2014;148,5;16.304;0,2;1.033;2,4;;
2013;148,5;16.273;-8,0;1.009;-7,3;;
2012;148,5;17.691;-15,1;1.088;-15,7;;
2011;148,5;20.831;-2,9;1.290;-7,1;;
2010;148,5;21.445;-6,5;1.388;-10,3;;
2009;148,5;22.928;-12,4;1.548;-25,0;;
2008;148,5;26.180;-11,0;2.065;-15,1;;
2007;148,5;29.411;0,7;2.433;-0,5;;
2006;148,5;29.207;3,6;2.445;3,4;;
2005;148,5;28.180;3,2;2.364;0,6;;
2004;148,4;27.302;2,5;2.351;1,3;;
2003;148,4;26.640;6,7;2.320;6,1;;
2002;148,4;24.968;6,7;2.186;10,8;;
2001;148,4;23.409;10,3;1.973;9,5;;
2000;148,4;21.225;11,8;1.802;10,7;;
1999;148,4;18.987;16,7;1.628;18,5;;
1998;148,4;16.271;23,2;1.374;25,8;;
1997;148,4;13.207;6,3;1.092;10,1;;
1996;148,4;12.423;0,9;992;-0,8;;
1995;148,4;12.313;0,1;1.000;1,2;;
1994;148,4;12.301;1,8;988;2,4;;
1993;148,4;12.085;-4,0;965;-7,6;;
1992;148,4;12.595;-0,5;1.044;-0,6;;
1991;148,4;12.663;5,3;1.050;6,9;;
1990;148,4;12.027; ;982; ;;
;;;;;;;
2017 Mar;148,5;15.102;-8,7;1.221;9,1;;
Feb;148,5;14.135;7,1;1.161;4,9;;
Ene;148,5;13.319;8,8;1.242;29,6;;
2016 Dic;148,5;13.510;0,8;1.006;1,3;;
Nov;148,5;14.303;7,3;1.169;12,9;;
Oct;148,5;16.372;5,2;1.092;7,2;;
Sep;148,5;19.858;11,5;1.062;10,1;;
Ago;148,5;31.513;2,3;1.069;6,3;;
Jul;148,5;27.910;10,1;1.127;-5,0;;
Jun;148,5;19.203;5,0;1.181;3,1;;
May;148,5;16.713;4,1;1.127;0,7;;
Abr;148,5;15.461;-9,9;1.149;0,2;;
Mar;148,5;16.542;24,3;1.119;2,5;;
Feb;148,5;13.197;8,5;1.107;5,8;;
Ene;148,5;12.243;8,2;958;3,3;;
2015 Dic;148,5;13.399;7,8;993;1,6;;
Nov;148,5;13.329;6,6;1.035;2,5;;
Oct;148,5;15.558;6,7;1.019;-2,9;;
Sep;148,5;17.802;1,3;965;-1,1;;
Ago;148,5;30.790;3,1;1.006;0,5;;
Jul;148,5;25.345;7,5;1.186;6,7;;
Jun;148,5;18.287;4,0;1.145;5,8;;
May;148,5;16.055;7,7;1.119;3,2;;
Abr;148,5;17.151;-0,3;1.147;3,4;;
Mar;148,5;13.303;8,0;1.092;6,0;;
Feb;148,5;12.168;3,2;1.046;0,8;;
Ene;148,5;11.314;3,8;927;-0,6;;
2014 Dic;148,5;12.426;4,4;977;5,1;;
Nov;148,5;12.499;-1,6;1.010;0,8;;
Oct;148,5;14.580;3,7;1.049;4,7;;
Sep;148,5;17.567;-1,4;976;6,8;;
Ago;148,5;29.867;0,7;1.001;2,1;;
Jul;148,5;23.566;-1,5;1.112;2,3;;
Jun;148,5;17.589;-0,9;1.082;3,6;;
May;148,5;14.904;-1,9;1.084;-0,6;;
Abr;148,5;17.194;21,7;1.109;5,3;;
Mar;148,5;12.315;-15,6;1.030; ;;
Feb;148,5;11.788;0,3;1.038;1,1;;
Ene;148,5;10.905;-3,5;933;-2,3;;
2013 Dic;148,5;11.905;-3,2;930;-1,1;;
Nov;148,5;12.698;-1,6;1.002;-5,3;;
Oct;148,5;14.055;-4,9;1.002;-5,8;;
Sep;148,5;17.812;-4,5;914;-5,7;;
Ago;148,5;29.660;-0,2;980;-4,9;;
Jul;148,5;23.916;-11,2;1.087;-5,1;;
Jun;148,5;17.746;-10,6;1.044;-10,9;;
May;148,5;15.193;-7,4;1.090;-7,5;;
Abr;148,5;14.127;-22,6;1.053;-7,6;;
Mar;148,5;14.585;-4,1;1.030;-12,3;;
Feb;148,5;11.757;-14,0;1.027;-11,3;;
Ene;148,5;11.304;-15,2;955;-7,3;;
2012 Dic;148,5;12.303;-18,1;940;-15,0;;
Nov;148,5;12.898;-16,2;1.058;-14,3;;
Oct;148,5;14.784;-17,0;1.064;-11,8;;
Sep;148,5;18.658;-17,3;969;-20,0;;
Ago;148,5;29.706;-15,2;1.031;-16,7;;
Jul;148,5;26.933;-17,5;1.146;-15,7;;
Jun;148,5;19.857;-14,3;1.172;-17,8;;
May;148,5;16.400;-10,2;1.179;-13,8;;
Abr;148,5;18.244;-13,8;1.139;-16,9;;
Mar;148,5;15.212;-7,8;1.174;-17,7;;
Feb;148,5;13.672;-18,9;1.158;-16,1;;
Ene;148,5;13.334;-3,3;1.030;-3,6;;
2011 Dic;148,5;15.026;-6,5;1.106;-9,1;;
Nov;148,5;15.388;-7,5;1.234;-7,5;;
Oct;148,5;17.819;-6,3;1.207;-6,9;;
Sep;148,5;22.558;0,4;1.211;-6,3;;
Ago;148,5;35.021;-0,5;1.237;-5,4;;
Jul;148,5;32.661;4,0;1.359;-9,2;;
Jun;148,5;23.170;0,3;1.426;-6,1;;
May;148,5;18.258;-8,9;1.367;-5,3;;
Abr;148,5;21.169;-1,4;1.371;-6,2;;
Mar;148,5;16.492;-12,4;1.426;-8,8;;
Feb;148,5;16.863;-1,3;1.380;-5,6;;
Ene;148,5;13.787;-11,2;1.068;-16,2;;
2010 Dic;148,5;16.063;-8,3;1.217;-13,1;;
Nov;148,5;16.644;-6,9;1.334;-9,6;;
Oct;148,5;19.018;-6,9;1.297;-11,9;;
Sep;148,5;22.471;-2,1;1.292;-8,7;;
Ago;148,5;35.183;-8,4;1.307;-4,9;;
Jul;148,5;31.406;-6,1;1.497;-11,4;;
Jun;148,5;23.098;-5,6;1.518;-9,5;;
May;148,5;20.048;-7,3;1.444;-10,3;;
Abr;148,5;21.465;-8,9;1.461;-12,5;;
Mar;148,5;18.836;-2,2;1.564;-4,9;;
Feb;148,5;17.089;-7,1;1.462;-12,7;;
Ene;148,5;15.534;-6,9;1.275;-14,0;;
2009 Dic;148,5;17.513;-8,2;1.400;-11,4;;
Nov;148,5;17.873;-8,5;1.475;-16,0;;
Oct;148,5;20.419;-7,2;1.472;-21,6;;
Sep;148,5;22.948;-12,7;1.415;-23,5;;
Ago;148,5;38.395;-9,1;1.375;-20,8;;
Jul;148,5;33.447;-8,2;1.690;-27,7;;
Jun;148,5;24.476;-9,7;1.677;-23,5;;
May;148,5;21.633;-15,0;1.609;-27,8;;
Abr;148,5;23.560;-3,9;1.669;-31,7;;
Mar;148,5;19.261;-26,4;1.645;-22,9;;
Feb;148,5;18.387;-20,4;1.675;-30,8;;
Ene;148,5;16.686;-23,5;1.483;-33,8;;
2008 Dic;148,5;19.086;-16,6;1.580;-22,6;;
Nov;148,5;19.530;-21,0;1.756;-28,2;;
Oct;148,5;22.005;-16,1;1.878;-23,0;;
Sep;148,5;26.295;-16,1;1.850;-19,4;;
Ago;148,5;42.232;-7,5;1.736;-19,7;;
Jul;148,5;36.432;-9,7;2.339;-7,9;;
Jun;148,5;27.112;-12,5;2.193;-15,7;;
May;148,5;25.445;-9,1;2.230;-16,9;;
Abr;148,5;24.519;-18,1;2.445;-0,1;;
Mar;148,5;26.153;1,1;2.133;-19,3;;
Feb;148,5;23.094;-3,0;2.420;-4,9;;
Ene;148,5;21.822;-3,3;2.239;-5,3;;
2007 Dic;148,5;22.886;-4,6;2.042;-5,4;;
Nov;148,5;24.733;3,2;2.445;-4,0;;
Oct;148,5;26.223;-5,0;2.439;-0,4;;
Sep;148,5;31.351;-1,2;2.294;-1,9;;
Ago;148,5;45.637;1,0;2.161;-2,0;;
Jul;148,5;40.364;1,1;2.539; ;;
Jun;148,5;30.996;3,6;2.601;-0,6;;
May;148,5;27.990;1,0;2.683;0,3;;
Abr;148,5;29.941;-2,3;2.447;3,0;;
Mar;148,5;25.880;4,0;2.643;-2,0;;
Feb;148,5;23.817;3,5;2.546;2,2;;
Ene;148,5;22.557;6,1;2.364;5,0;;
2006 Dic;148,5;23.988;5,8;2.159;-0,6;;
Nov;148,5;23.967;3,5;2.546;2,6;;
Oct;148,5;27.595;7,3;2.450;6,8;;
Sep;148,5;31.731;4,3;2.338;2,0;;
Ago;148,5;45.182;2,6;2.204;1,8;;
Jul;148,5;39.928;2,2;2.539;2,5;;
Jun;148,5;29.931;2,3;2.616;-0,5;;
May;148,5;27.725;1,3;2.674;7,7;;
Abr;148,5;30.661;21,3;2.376;-3,4;;
Mar;148,5;24.896;-8,4;2.697;8,2;;
Feb;148,5;23.012;1,4;2.492;3,1;;
Ene;148,5;21.252;3,0;2.251;11,1;;
2005 Dic;148,5;22.664;1,2;2.171;0,2;;
Nov;148,5;23.147;1,7;2.482;2,0;;
Oct;148,5;25.727;-2,3;2.293;-0,6;;
Sep;148,5;30.424;3,7;2.293;0,9;;
Ago;148,5;44.058;1,4;2.164;1,6;;
Jul;148,5;39.064;5,4;2.478;-2,2;;
Jun;148,5;29.251;4,0;2.629;3,4;;
May;148,5;27.356;9,3;2.482;3,1;;
Abr;148,5;25.281;-10,1;2.460;0,2;;
Mar;148,5;27.190;20,0;2.492;-0,5;;
Feb;148,5;22.695;4,4;2.418;1,5;;
Ene;148,5;20.623;1,9;2.027;-3,1;;
2004 Dic;148,4;22.391;2,2;2.166;0,6;;
Nov;148,4;22.762;4,2;2.433;6,4;;
Oct;148,4;26.321;8,5;2.307;-2,5;;
Sep;148,4;29.337;1,8;2.272;0,8;;
Ago;148,4;43.461;-0,1;2.130;4,1;;
Jul;148,4;37.072;3,4;2.533;-0,1;;
Jun;148,4;28.117;1,0;2.543;4,8;;
May;148,4;25.025;-0,6;2.407;-2,2;;
Abr;148,4;28.119;-1,2;2.456;-0,0;;
Mar;148,4;22.649;2,7;2.505;4,6;;
Feb;148,4;21.743;6,3;2.382;0,5;;
Ene;148,4;20.240;6,8;2.092;-0,5;;
2003 Dic;148,4;21.900;8,0;2.154;5,5;;
Nov;148,4;21.848;3,1;2.287;1,3;;
Oct;148,4;24.268;2,6;2.367;0,0;;
Sep;148,4;28.810;4,1;2.253;6,2;;
Ago;148,4;43.499;5,8;2.046;3,5;;
Jul;148,4;35.837;4,7;2.536;5,2;;
Jun;148,4;27.843;9,0;2.426;6,8;;
May;148,4;25.172;7,8;2.460;4,8;;
Abr;148,4;28.454;27,6;2.457;8,8;;
Mar;148,4;22.054;-5,8;2.394;11,5;;
Feb;148,4;20.458;5,6;2.369;11,4;;
Ene;148,4;18.952;8,4;2.102;10,1;;
2002 Dic;148,4;20.270;7,8;2.041;12,8;;
Nov;148,4;21.191;9,3;2.257;8,9;;
Oct;148,4;23.654;7,8;2.366;13,9;;
Sep;148,4;27.679;5,2;2.121;14,1;;
Ago;148,4;41.122;7,2;1.977;6,3;;
Jul;148,4;34.225;4,9;2.410;15,5;;
Jun;148,4;25.552;7,4;2.272;8,2;;
May;148,4;23.340;12,2;2.347;9,8;;
Abr;148,4;22.299;-13,3;2.258;12,6;;
Mar;148,4;23.410;22,6;2.148;6,0;;
Feb;148,4;19.382;11,7;2.126;11,2;;
Ene;148,4;17.487;8,1;1.910;10,2;;
2001 Dic;148,4;18.798;8,3;1.809;11,4;;
Nov;148,4;19.392;13,4;2.072;8,7;;
Oct;148,4;21.952;12,3;2.078;17,5;;
Sep;148,4;26.301;8,1;1.859;6,1;;
Ago;148,4;38.368;9,8;1.859;9,2;;
Jul;148,4;32.615;8,0;2.086;9,3;;
Jun;148,4;23.801;11,6;2.099;8,8;;
May;148,4;20.803;8,0;2.137;7,7;;
Abr;148,4;25.718;14,4;2.006;8,3;;
Mar;148,4;19.087;9,9;2.027;5,0;;
Feb;148,4;17.354;7,8;1.912;5,7;;
Ene;148,4;16.181;12,4;1.733;18,5;;
2000 Dic;148,4;17.352;9,0;1.624;1,0;;
Nov;148,4;17.101;8,0;1.907;9,8;;
Oct;148,4;19.544;7,6;1.769;7,1;;
Sep;148,4;24.339;15,4;1.752;9,5;;
Ago;148,4;34.934;9,8;1.703;10,8;;
Jul;148,4;30.195;11,8;1.909;7,9;;
Jun;148,4;21.318;12,5;1.930;10,3;;
May;148,4;19.254;10,8;1.984;15,3;;
Abr;148,4;22.483;18,5;1.852;13,6;;
Mar;148,4;17.366;8,5;1.931;13,1;;
Feb;148,4;16.098;17,4;1.809;16,9;;
Ene;148,4;14.401;15,7;1.462;14,2;;
1999 Dic;148,4;15.926;15,6;1.608;13,6;;
Nov;148,4;15.835;15,7;1.737;18,6;;
Oct;148,4;18.170;15,2;1.651;15,5;;
Sep;148,4;21.089;17,4;1.600;20,3;;
Ago;148,4;31.827;11,2;1.537;18,3;;
Jul;148,4;27.019;18,8;1.769;17,4;;
Jun;148,4;18.941;18,7;1.749;23,1;;
May;148,4;17.373;20,0;1.721;20,9;;
Abr;148,4;18.965;12,8;1.630;15,7;;
Mar;148,4;15.999;24,5;1.707;25,1;;
Feb;148,4;13.710;18,2;1.548;18,6;;
Ene;148,4;12.442;18,3;1.280;14,4;;
1998 Dic;148,4;13.780;18,1;1.416;22,2;;
Nov;148,4;13.682;24,6;1.465;28,3;;
Oct;148,4;15.766;34,4;1.430;27,5;;
Sep;148,4;17.957;23,9;1.330;29,8;;
