;;;;;;;
;;;;;;;
TRÁFICO EN AUTOPISTAS ESTATALES DE PEAJE;;;;;;;
;;;;;;;
FERROL-FR.PORTUGUESA A-9;;;;;;;
;;;;;;;
;;;;;;;
2016;219,6;22.659;3,6;1.888;1,0;;
2015;219,6;21.869;5,5;1.869;1,0;;
2014;219,6;20.734;0,4;1.851;1,2;;
2013;219,6;20.658;-5,3;1.829;-4,9;;
2012;219,6;21.822;-11,7;1.924;-11,2;;
2011;219,6;24.711;-6,4;2.166;-3,4;;
2010;219,6;26.395;-0,4;2.242;-2,6;;
2009;219,6;26.500;-1,2;2.303;-9,6;;
2008;219,6;26.826;-0,8;2.548;-1,7;;
2007;219,6;27.029;7,9;2.592;8,5;;
2006;219,6;25.059;6,3;2.388;5,4;;
2005;219,6;23.581;4,5;2.266;3,7;;
2004;217,7;22.565;2,8;2.186;3,2;;
2003;208,6;21.958;5,7;2.118;4,0;;
2002;191,7;20.770;4,4;2.036;5,2;;
2001;191,7;19.904;8,2;1.935;8,8;;
2000;191,7;18.390;4,6;1.779;6,1;;
1999;191,7;17.578;11,1;1.676;11,0;;
1998;175,3;15.826;9,7;1.510;9,5;;
1997;166,5;14.427;4,2;1.379;5,8;;
1996;157,2;13.852;2,8;1.303;0,2;;
1995;157,2;13.476;4,6;1.301;9,0;;
1994;157,2;12.887;3,5;1.194;7,0;;
1993;157,2;12.454;10,5;1.116;6,7;;
1992;157,2;11.266;-6,0;1.046;5,7;;
1991;134,3;11.985;6,5;990;4,2;;
1990;117,3;11.257; ;950; ;;
;;;;;;;
2017 Mar;219,6;21.820;2,6;2.059;11,2;;
Feb;219,6;20.689;3,2;1.895; ;;
Ene;219,6;19.726;6,3;1.774;9,7;;
2016 Dic;219,6;21.253;1,5;1.720;-0,8;;
Nov;219,6;21.522;3,1;1.932;6,9;;
Oct;219,6;22.318;2,3;1.836;-4,3;;
Sep;219,6;24.569;5,7;2.034;3,3;;
Ago;219,6;27.867;6,1;1.902;7,6;;
Jul;219,6;27.343;5,7;1.933;-6,0;;
Jun;219,6;23.811;3,5;2.034;0,6;;
May;219,6;21.895;5,0;1.974;5,6;;
Abr;219,6;21.295;-0,1;1.938;3,0;;
Mar;219,6;21.275;4,1;1.851;-3,6;;
Feb;219,6;20.057;3,1;1.895;3,0;;
Ene;219,6;18.550;2,0;1.617;-1,8;;
2015 Dic;219,6;20.949;6,2;1.733;0,6;;
Nov;219,6;20.865;6,7;1.808;-7,3;;
Oct;219,6;21.808;4,6;1.918;-6,2;;
Sep;219,6;23.239;5,5;1.969;0,9;;
Ago;219,6;26.259;4,6;1.767;1,3;;
Jul;219,6;25.870;6,4;2.057;3,0;;
Jun;219,6;23.001;7,6;2.022;3,1;;
May;219,6;20.843;2,4;1.870;-0,6;;
Abr;219,6;21.307;4,4;1.881;2,7;;
Mar;219,6;20.437;7,6;1.920;9,7;;
Feb;219,6;19.459;6,2;1.839;5,6;;
Ene;219,6;18.187;3,4;1.647;0,7;;
2014 Dic;219,6;19.731;2,2;1.723;4,6;;
Nov;219,6;19.560;0,3;1.951;8,3;;
Oct;219,6;20.850;1,1;2.045;2,9;;
Sep;219,6;22.022;0,3;1.952;1,7;;
Ago;219,6;25.112;-0,1;1.745;-1,7;;
Jul;219,6;24.305;0,2;1.998;0,3;;
Jun;219,6;21.372;-0,3;1.961;5,3;;
May;219,6;20.351;0,6;1.882;-0,8;;
Abr;219,6;20.401;2,6;1.832;-5,1;;
Mar;219,6;18.986;0,1;1.751;4,9;;
Feb;219,6;18.315;-0,9;1.741;-0,9;;
