;;;;;;;
;;;;;;;
TRÁFICO EN AUTOPISTAS ESTATALES DE PEAJE;;;;;;;
;;;;;;;
BILBAO-ZARAGOZA A-68;;;;;;;
;;;;;;;
;;;;;;;
2016;294,4;12.746;4,7;1.313;5,6;;
2015;294,4;12.170;6,0;1.243;6,6;;
2014;294,4;11.477;2,3;1.166;5,0;;
2013;294,4;11.223;-5,2;1.111;-1,5;;
2012;294,4;11.842;-9,7;1.128;-14,9;;
2011;294,4;13.118;-5,4;1.326;-8,4;;
2010;294,4;13.861;1,3;1.448;1,1;;
2009;294,4;13.681;-7,1;1.432;-20,3;;
2008;294,4;14.733;-16,8;1.796;-5,0;;
2007;294,4;17.712;24,9;1.890;7,8;;
2006;294,4;14.177;4,7;1.754;2,7;;
2005;294,4;13.542;0,3;1.708;-0,5;;
2004;294,5;13.503;5,1;1.716;5,7;;
2003;294,5;12.844;5,3;1.624;-4,9;;
2002;294,5;12.196;3,9;1.708;-0,9;;
2001;294,5;11.742;10,5;1.724;9,3;;
2000;294,5;10.623;18,0;1.578;20,4;;
1999;294,5;9.002;11,4;1.311;25,1;;
1998;294,5;8.082;10,1;1.048;5,6;;
1997;294,5;7.343;4,3;992;5,2;;
1996;294,5;7.038;0,4;943;1,0;;
1995;294,5;7.013;1,2;934;4,4;;
1994;294,5;6.930;-0,4;895;4,3;;
1993;294,5;6.956;-1,4;858;-7,2;;
1992;294,5;7.052;-0,9;925;-5,7;;
1991;294,5;7.118;3,6;981;-2,1;;
1990;294,5;6.870; ;1.002; ;;
;;;;;;;
2017 Mar;294,4;11.285;-13,8;1.471;11,9;;
Feb;294,4;10.744;4,3;1.400;6,1;;
Ene;294,4;9.818;3,2;1.260;13,0;;
2016 Dic;294,4;11.851;2,6;1.230;6,5;;
Nov;294,4;11.242;4,6;1.415;8,6;;
Oct;294,4;12.719;4,2;1.336;1,4;;
Sep;294,4;13.743;6,2;1.399;4,6;;
Ago;294,4;17.584;3,0;1.152;12,2;;
Jul;294,4;16.356;9,7;1.350; ;;
Jun;294,4;13.180;5,7;1.434;7,1;;
May;294,4;11.887;-0,6;1.356;7,5;;
Abr;294,4;11.292;-12,7;1.345;12,6;;
Mar;294,4;13.088;21,9;1.315;1,9;;
Feb;294,4;10.297;9,9;1.319;2,6;;
Ene;294,4;9.510;7,0;1.115;3,8;;
2015 Dic;294,4;11.550;5,5;1.155;7,6;;
Nov;294,4;10.750;5,8;1.303;10,9;;
Oct;294,4;12.212;8,8;1.318;3,8;;
Sep;294,4;12.944;5,0;1.337;8,5;;
Ago;294,4;17.073;6,1;1.027;6,4;;
Jul;294,4;14.906;7,1;1.350;3,4;;
Jun;294,4;12.466;7,6;1.339;15,5;;
May;294,4;11.959;12,7;1.261;1,5;;
Abr;294,4;12.933;2,1;1.194;1,9;;
Mar;294,4;10.733;11,7;1.290;14,1;;
Feb;294,4;9.368;0,7;1.285;12,9;;
Ene;294,4;8.892;2,3;1.074;2,6;;
2014 Dic;294,4;10.950;7,0;1.073;8,9;;
Nov;294,4;10.159;2,0;1.175;3,9;;
Oct;294,4;11.226;1,7;1.270;5,7;;
Sep;294,4;12.325;2,5;1.232;6,3;;
Ago;294,4;16.084;3,3;965;1,5;;
Jul;294,4;13.914;0,3;1.305;10,4;;
Jun;294,4;11.583;-1,3;1.159;1,5;;
May;294,4;10.615;1,3;1.242;7,1;;
Abr;294,4;12.672;17,5;1.172;1,6;;
Mar;294,4;9.606;-12,4;1.131;6,1;;
Feb;294,4;9.305;2,3;1.138;-1,0;;
Ene;294,4;8.696;0,2;1.047;-1,3;;
2013 Dic;294,4;10.230;1,2;985;4,1;;
Nov;294,4;9.959;-1,7;1.131;1,0;;
Oct;294,4;11.040;-1,3;1.202;1,8;;
Sep;294,4;12.030;1,2;1.159;6,5;;
Ago;294,4;15.573;-1,4;951;-3,6;;
Jul;294,4;13.876;-6,0;1.182;0,3;;
Jun;294,4;11.741;-6,1;1.142;-7,0;;
May;294,4;10.478;-8,0;1.160;-4,1;;
Abr;294,4;10.788;-16,9;1.154;4,8;;
Mar;294,4;10.965;0,2;1.066;-9,3;;
Feb;294,4;9.098;-9,8;1.150;-4,4;;
Ene;294,4;8.682;-12,2;1.061;-4,1;;
2012 Dic;294,4;10.107;-13,4;946;-11,2;;
Nov;294,4;10.131;-10,3;1.120;-13,6;;
Oct;294,4;11.186;-10,0;1.181;-2,8;;
Sep;294,4;11.889;-15,5;1.088;-21,4;;
Ago;294,4;15.800;-10,6;987;-14,2;;
Jul;294,4;14.763;-10,9;1.178;-12,8;;
Jun;294,4;12.508;-8,2;1.228;-18,6;;
May;294,4;11.392;-6,5;1.210;-17,9;;
Abr;294,4;12.984;-10,0;1.101;-17,7;;
Mar;294,4;10.942;-5,7;1.175;-20,4;;
Feb;294,4;10.082;-11,1;1.203;-15,3;;
