;;;;;;;
;;;;;;;
TRÁFICO EN AUTOPISTAS ESTATALES DE PEAJE;;;;;;;
;;;;;;;
BURGOS-ARMIÑON A-1;;;;;;;
;;;;;;;
;;;;;;;
2016;84,3;19.374;4,2;3.284;4,1;;
2015;84,3;18.586;3,7;3.155;4,0;;
2014;84,3;17.918;1,9;3.033;1,7;;
2013;84,3;17.587;-3,4;2.983;-3,9;;
2012;84,3;18.213;-8,2;3.103;-14,7;;
2011;84,3;19.833;-7,6;3.636;-9,8;;
2010;84,3;21.462;-0,4;4.033;-0,8;;
2009;84,3;21.553;-6,8;4.067;-21,0;;
2008;84,3;23.114;-3,4;5.151;-8,8;;
2007;84,3;23.937;7,8;5.647;17,5;;
2006;84,3;22.209;4,7;4.808;2,9;;
2005;84,3;21.206;0,6;4.672;0,9;;
2004;80,9;21.072;4,8;4.631;4,6;;
2003;80,9;20.101;3,9;4.427;1,7;;
2002;80,9;19.348;7,1;4.351;4,3;;
2001;80,9;18.062;8,8;4.171;6,6;;
2000;80,9;16.605;9,5;3.912;10,6;;
1999;80,9;15.161;10,7;3.536;12,5;;
1998;80,9;13.696;12,3;3.144;14,2;;
1997;80,9;12.198;6,7;2.753;19,1;;
1996;80,2;11.430;3,7;2.312;15,4;;
1995;80,2;11.026;8,4;2.004;61,9;;
1994;80,2;10.172;5,1;1.238;23,8;;
1993;80,2;9.680;2,9;1.000;-8,1;;
1992;80,2;9.403;5,0;1.088;-6,8;;
1991;80,2;8.954;8,0;1.167;-12,8;;
1990;80,2;8.294; ;1.339; ;;
;;;;;;;
2017 Mar;84,3;14.866;-17,6;3.696;10,1;;
Feb;84,3;14.027;4,3;3.499;3,4;;
Ene;84,3;14.089;0,8;3.153;6,4;;
2016 Dic;84,3;18.058;3,1;3.008;7,1;;
Nov;84,3;15.160;3,5;3.476;5,0;;
Oct;84,3;17.694;4,3;3.329;0,2;;
Sep;84,3;19.375;6,7;3.373;1,0;;
Ago;84,3;37.512;-1,5;2.736;5,0;;
Jul;84,3;29.262;11,9;3.306;-0,8;;
Jun;84,3;16.853;4,6;3.563;6,4;;
May;84,3;16.370;3,1;3.432;8,3;;
Abr;84,3;16.018;-14,4;3.519;12,1;;
Mar;84,3;18.050;25,3;3.356;1,9;;
Feb;84,3;13.454;8,1;3.383;-0,7;;
Ene;84,3;13.971;6,5;2.962;5,0;;
2015 Dic;84,3;17.518;4,0;2.809;8,1;;
Nov;84,3;14.654;2,9;3.310;8,4;;
Oct;84,3;16.963;8,1;3.321;3,1;;
Sep;84,3;18.157;2,1;3.341;5,2;;
Ago;84,3;38.086;2,9;2.606;7,2;;
Jul;84,3;26.147;8,9;3.333;3,9;;
