;;;;;;;
;;;;;;;
TRÁFICO EN AUTOPISTAS ESTATALES DE PEAJE;;;;;;;
;;;;;;;
LEON-CAMPOMANES A-66;;;;;;;
;;;;;;;
;;;;;;;
2016;77,8;8.240;3,8;1.240;0,6;;
2015;77,8;7.937;5,7;1.232;7,7;;
2014;77,8;7.506;-0,1;1.144;-0,2;;
2013;77,8;7.511;-5,8;1.146;-6,4;;
2012;77,8;7.971;-14,1;1.225;-13,5;;
2011;77,8;9.284;-3,0;1.417;-1,7;;
2010;77,8;9.568;-4,1;1.442;-3,2;;
2009;77,8;9.975;-0,2;1.490;-9,3;;
2008;77,8;9.997;-2,8;1.643;-0,7;;
2007;77,8;10.288;6,2;1.655;8,5;;
2006;77,8;9.683;7,5;1.525;11,1;;
2005;77,8;9.005;3,1;1.373;4,3;;
2004;77,7;8.736;8,5;1.317;4,6;;
2003;86,8;8.048;4,8;1.259;-0,9;;
2002;86,8;7.679;3,3;1.271;3,0;;
2001;86,8;7.433;11,9;1.234;9,8;;
2000;86,8;6.642;5,1;1.124;6,7;;
1999;86,8;6.320;11,7;1.053;13,5;;
1998;86,8;5.659;13,3;928;7,4;;
1997;86,8;4.995;5,9;864;8,3;;
1996;86,8;4.718;0,8;798;5,1;;
1995;86,8;4.680;2,1;759;4,1;;
1994;86,8;4.583;9,1;729;9,1;;
1993;86,8;4.199;-1,3;668;-8,2;;
1992;86,8;4.256;0,0;728;-4,2;;
1991;86,8;4.254;16,2;760;12,1;;
1990;86,8;3.661; ;678; ;;
;;;;;;;
2017 Mar;77,8;6.621;-18,1;1.340;3,9;;
Feb;77,8;6.292;8,6;1.304;5,4;;
Ene;77,8;5.899;4,3;1.228;11,3;;
2016 Dic;77,8;7.339;0,2;1.186;2,5;;
Nov;77,8;6.717;2,1;1.363;8,5;;
Oct;77,8;7.708;0,2;1.245;-4,1;;
Sep;77,8;9.225;7,2;1.269;-6,6;;
Ago;77,8;13.287;2,4;1.207; ;;
Jul;77,8;12.582;12,3;1.253;-9,6;;
Jun;77,8;8.256;-0,7;1.307; ;;
May;77,8;7.359;3,4;1.203;5,4;;
Abr;77,8;6.636;-14,9;1.217;9,6;;
Mar;77,8;8.085;24,1;1.290;6,2;;
Feb;77,8;5.796;4,5;1.237;-1,4;;
Ene;77,8;5.658;6,4;1.103;0,7;;
2015 Dic;77,8;7.326;6,2;1.157;6,0;;
Nov;77,8;6.580;6,5;1.256;11,4;;
Oct;77,8;7.695;11,2;1.298;10,6;;
Sep;77,8;8.603;2,2;1.359;13,3;;
Ago;77,8;12.980;3,7;1.207;15,0;;
Jul;77,8;11.205;12,2;1.386;12,1;;
Jun;77,8;8.316;5,9;1.307;11,2;;
May;77,8;7.115;6,3;1.141;0,4;;
Abr;77,8;7.802;-0,5;1.110;0,7;;
Mar;77,8;6.517;13,4;1.215;10,2;;
Feb;77,8;5.544;1,0;1.254;4,7;;
Ene;77,8;5.318;-0,8;1.095;-3,5;;
2014 Dic;77,8;6.899;1,4;1.091;5,0;;
Nov;77,8;6.177;-1,1;1.127;-2,2;;
Oct;77,8;6.920;1,0;1.174;-3,7;;
Sep;77,8;8.419;-0,8;1.200;3,2;;
Ago;77,8;12.512;1,3;1.050;-1,0;;
Jul;77,8;9.985;-3,2;1.236;2,3;;
Jun;77,8;7.849;-1,0;1.175;2,2;;
