;;;;;;;
;;;;;;;
TRÁFICO EN AUTOPISTAS ESTATALES DE PEAJE;;;;;;;
;;;;;;;
MALAGA-GUADIARO;;;;;;;
;;;;;;;
;;;;;;;
2016;98,2;29.762;6,3;2.120;15,8;;
2015;98,2;27.995;7,6;1.830;20,9;;
2014;98,2;26.012;3,1;1.514;8,6;;
2013;98,2;25.227;-2,3;1.394;-1,3;;
2012;98,2;25.814;-5,6;1.413;-12,3;;
2011;98,2;27.354;-4,7;1.612;-7,2;;
2010;98,2;28.695;-2,6;1.738;-5,5;;
2009;98,2;29.469;-8,0;1.840;-16,8;;
2008;98,2;32.039;-6,0;2.211;-22,2;;
2007;98,2;34.070;2,8;2.842;-19,3;;
2006;98,2;33.136;3,9;3.520;6,7;;
2005;98,2;31.894;4,8;3.300;17,8;;
2004;98,2;30.429;8,4;2.801;9,5;;
2003;98,2;28.060;-0,8;2.557;-3,9;;
2002;98,2;28.286;-1,1;2.660;4,2;;
2001;75,7;28.595;14,7;2.552;6,5;;
2000;75,7;24.939;13,0;2.396;27,8;;
1999;75,7;22.063; ;1.875; ;;
;;;;;;;
2017 Mar;98,2;28.768;2,4;2.383;14,3;;
Feb;98,2;26.956;10,3;2.147;15,7;;
Ene;98,2;25.359;4,9;1.956;13,6;;
2016 Dic;98,2;25.875;3,3;1.929;7,7;;
Nov;98,2;26.375;5,4;2.136;15,8;;
Oct;98,2;27.190;-0,0;2.021;9,2;;
Sep;98,2;30.256;1,0;2.160;13,1;;
Ago;98,2;41.641;4,3;2.393;22,3;;
Jul;98,2;38.917;11,5;2.376;13,1;;
Jun;98,2;31.099;8,1;2.333;14,5;;
May;98,2;29.599;7,0;2.235;23,9;;
Abr;98,2;29.078;7,5;2.191;22,2;;
Mar;98,2;28.084;12,8;2.084;14,9;;
Feb;98,2;24.431;5,7;1.855;12,3;;
Ene;98,2;24.183;10,7;1.722;22,7;;
2015 Dic;98,2;25.047;9,8;1.791;20,3;;
Nov;98,2;25.033;9,4;1.844;17,8;;
Oct;98,2;27.197;6,2;1.850;21,1;;
Sep;98,2;29.971;8,1;1.909;21,1;;
Ago;98,2;39.922;6,3;1.956;27,7;;
Jul;98,2;34.897;10,1;2.100;28,3;;
Jun;98,2;28.776;7,6;2.038;29,9;;
May;98,2;27.663;7,1;1.804;14,1;;
Abr;98,2;27.050;4,1;1.793;13,6;;
Mar;98,2;24.899;10,3;1.814;24,3;;
Feb;98,2;23.121;7,4;1.652;21,2;;
Ene;98,2;21.853;5,2;1.403;9,3;;
2014 Dic;98,2;22.806;5,3;1.489;18,4;;
Nov;98,2;22.873;2,8;1.566;15,1;;
Oct;98,2;25.609;3,5;1.528;6,0;;
Sep;98,2;27.733;4,2;1.576;9,4;;
Ago;98,2;37.556;4,9;1.532;4,8;;
Jul;98,2;31.686;2,9;1.637;6,4;;
Jun;98,2;26.745;2,3;1.569;6,1;;
May;98,2;25.826;1,0;1.581;6,5;;
Abr;98,2;25.991;6,5;1.579;4,2;;
Mar;98,2;22.569;0,3;1.459;13,4;;
