;;;;;;;
;;;;;;;
TRÁFICO EN AUTOPISTAS ESTATALES DE PEAJE;;;;;;;
;;;;;;;
ALICANTE-CARTAGENA;;;;;;;
;;;;;;;
;;;;;;;
2016;76,6;19.914;5,2;1.737;3,6;;
2015;76,6;18.923;5,4;1.676;4,2;;
2014;76,6;17.955;3,6;1.608;2,2;;
2013;76,8;17.329;2,4;1.573;-2,1;;
2012;76,8;16.931;-3,3;1.607;-6,6;;
2011;76,8;17.507;1,9;1.720;-3,8;;
2010;76,8;17.173;1,5;1.788;-2,5;;
2009;76,8;16.919;-9,2;1.833;-12,4;;
2008;76,8;18.625;-8,7;2.092;-15,4;;
2007;76,8;20.410;3,8;2.473;4,4;;
2006;76,8;19.656;6,1;2.368;-0,1;;
2005;76,8;18.521;11,8;2.370;6,5;;
2004;76,6;16.560;13,4;2.225;16,8;;
2003;76,6;14.608;18,1;1.905;26,6;;
2002;76,6;12.372;7,2;1.505;14,8;;
2001;76,6;11.543; ;1.311; ;;
;;;;;;;
;;;;;;;
2017 Mar;76,6;18.698;2,0;1.992;10,2;;
Feb;76,6;17.815;5,8;1.884;4,6;;
Ene;76,6;16.201;4,3;1.617;5,5;;
2016 Dic;76,6;16.171;1,8;1.588;1,3;;
Nov;76,6;17.446;4,4;1.732;4,7;;
Oct;76,6;18.420;4,7;1.583;1,0;;
Sep;76,6;20.392;7,5;1.601;3,6;;
Ago;76,6;28.712;6,4;1.655;10,1;;
Jul;76,6;27.529;6,4;1.874; ;;
Jun;76,6;21.349;4,7;1.902;1,2;;
May;76,6;19.317;4,1;1.891;8,7;;
Abr;76,6;18.681;1,1;1.893;2,8;;
Mar;76,6;18.340;9,9;1.807;1,7;;
Feb;76,6;16.832;4,4;1.801;6,7;;
Ene;76,6;15.527;7,0;1.533;3,1;;
2015 Dic;76,6;15.881;6,7;1.567;3,4;;
Nov;76,6;16.706;7,1;1.654;8,9;;
Oct;76,6;17.590;6,2;1.567;1,4;;
Sep;76,6;18.973;4,2;1.545;3,2;;
Ago;76,6;26.994;4,3;1.503;-2,0;;
Jul;76,6;25.870;6,7;1.874;6,7;;
Jun;76,6;20.396;4,9;1.880;7,7;;
May;76,6;18.550;5,1;1.739; ;;
Abr;76,6;18.473;0,7;1.841;4,2;;
Mar;76,6;16.693;7,5;1.777;12,5;;
Feb;76,6;16.127;7,5;1.688;3,4;;
Ene;76,6;14.516;5,2;1.487;0,8;;
2014 Dic;76,6;14.883;3,8;1.516;7,9;;
Nov;76,6;15.601;2,1;1.519;-0,3;;
Oct;76,6;16.559;4,9;1.546;4,2;;
Sep;76,6;18.203;3,2;1.497;6,7;;
Ago;76,6;25.891;3,0;1.533;5,1;;
Jul;76,6;24.248;1,8;1.756;-2,7;;
Jun;76,6;19.443;4,0;1.745;7,2;;
May;76,6;17.649;1,7;1.739;0,2;;
Abr;76,6;18.346;11,7;1.767;0,6;;
Mar;76,6;15.527;0,6;1.579;0,3;;
Feb;76,6;15.008;5,1;1.632;0,9;;
Ene;76,6;13.803;2,9;1.475;-1,3;;
2013 Dic;76,6;14.339;2,6;1.405;0,1;;
Nov;76,6;15.285;4,4;1.524;-1,9;;
Oct;76,6;15.793;2,3;1.483;-2,6;;
Sep;76,6;17.634;3,3;1.403;-0,9;;
Ago;76,6;25.147;4,4;1.459;-3,8;;
Jul;76,6;23.821;4,2;1.804;3,6;;
Jun;76,6;18.688;3,3;1.628;-7,8;;
May;76,6;17.361;3,2;1.736;-4,1;;
Abr;76,6;16.418;-1,4;1.757;3,1;;
Mar;76,6;15.427;0,2;1.574;-7,2;;
Feb;76,6;14.280;-1,7;1.618;-3,1;;
Ene;76,6;13.413;0,0;1.494;0,7;;
2012 Dic;76,6;13.981;-3,3;1.404;-8,9;;
Nov;76,6;14.647;-4,2;1.554;-6,4;;
Oct;76,6;15.431;-0,9;1.522;2,1;;
Sep;76,6;17.075;-2,6;1.416;-10,0;;
Ago;76,6;24.082;-1,2;1.517;-6,4;;
Jul;76,6;22.858;-1,7;1.741;-6,5;;
Jun;76,6;18.099;-4,0;1.766;-7,8;;
May;76,6;16.822;-6,5;1.811;-6,6;;
Abr;76,6;16.647;-5,9;1.704;-7,7;;
Mar;76,6;15.401;-1,7;1.696;-10,1;;
