;;;;;;;
;;;;;;;
TRÁFICO EN AUTOPISTAS ESTATALES DE PEAJE;;;;;;;
;;;;;;;
AVILA-VILLACASTIN;;;;;;;
;;;;;;;
;;;;;;;
2016;23,1;8.025;3,2;499;1,2;;
2015;23,1;7.776;9,5;493;11,5;;
2014;23,1;7.104;3,1;442;2,6;;
2013;23,1;6.888;1,3;431;3,6;;
2012;23,1;6.797;-12,7;416;-14,4;;
2011;23,1;7.782;-7,2;486;-8,1;;
2010;23,1;8.386;-0,9;529;-0,9;;
2009;23,1;8.458;17,0;534;17,6;;
2008;23,1;7.228;0,7;454; ;;
2007;23,1;7.180;12,2;454;17,6;;
2006;23,1;6.397;4,2;386;-2,0;;
2005;23,1;6.141;2,4;394;5,6;;
2004;23,1;5.999;11,7;373;16,6;;
2003;23,1;5.372;-41,6;320;-42,2;;
2002;23,1;9.203; ;554; ;;
;;;;;;;
;;;;;;;
2017 Mar;23,1;7.694;-7,7;545;8,3;;
Feb;23,1;7.112;8,0;510;3,4;;
Ene;23,1;6.466;2,4;475;21,5;;
2016 Dic;23,1;8.169;4,5;447;3,2;;
Nov;23,1;7.229;-2,4;519;5,7;;
Oct;23,1;8.630;3,5;517;-5,1;;
Sep;23,1;8.687;4,5;548; ;;
Ago;23,1;9.901;2,8;461;3,1;;
Jul;23,1;9.663;8,5;503;-7,7;;
Jun;23,1;7.908;3,2;563;2,7;;
May;23,1;7.708;-0,5;517;2,8;;
Abr;23,1;7.042;-13,5;534;8,8;;
Mar;23,1;8.337;18,0;503;2,9;;
Feb;23,1;6.583;4,6;493;2,9;;
Ene;23,1;6.312;7,9;391;-3,5;;
2015 Dic;23,1;7.820;5,1;433;6,9;;
Nov;23,1;7.403;8,7;491;13,4;;
Oct;23,1;8.337;18,2;545;11,5;;
Sep;23,1;8.312;12,3;548;11,6;;
Ago;23,1;9.636;7,3;447;10,4;;
Jul;23,1;8.909;11,9;545;14,7;;
Jun;23,1;7.662;6,4;548;15,1;;
May;23,1;7.750;13,0;503;5,9;;
Abr;23,1;8.139;4,6;491;9,8;;
Mar;23,1;7.066;11,2;489;20,7;;
Feb;23,1;6.293;8,4;479;13,0;;
Ene;23,1;5.851;6,1;405;5,2;;
2014 Dic;23,1;7.443;6,0;405;4,1;;
Nov;23,1;6.811;2,4;433;4,3;;
Oct;23,1;7.052;4,9;489;1,9;;
Sep;23,1;7.403;-0,2;491;8,6;;
Ago;23,1;8.979;5,1;405;0,2;;
Jul;23,1;7.960;3,0;475;4,4;;
Jun;23,1;7.201;-0,2;476;6,0;;
May;23,1;6.857;2,3;475;8,4;;
Abr;23,1;7.778;23,3;447;-1,8;;
Mar;23,1;6.354;-11,8;405; ;;
Feb;23,1;5.803;1,6;424;-1,4;;
Ene;23,1;5.516;4,0;385;-1,3;;
2013 Dic;23,1;7.020;9,3;389;11,8;;
Nov;23,1;6.653;11,9;415;4,3;;
Oct;23,1;6.725;3,8;480;10,9;;
Sep;23,1;7.417;6,6;452;6,1;;
Ago;23,1;8.545;6,9;404;3,9;;
Jul;23,1;7.729;-2,7;455;4,4;;
Jun;23,1;7.212;0,2;449;-0,9;;
May;23,1;6.701;4,5;438;0,7;;
Abr;23,1;6.306;-14,9;455;7,8;;
Mar;23,1;7.208;6,7;405;-6,5;;
Feb;23,1;5.714;-5,3;430;-0,9;;
Ene;23,1;5.304;-11,1;390;1,0;;
2012 Dic;23,1;6.420;-14,8;348;-11,0;;
Nov;23,1;5.947;-11,1;398;-13,1;;
Oct;23,1;6.481;-19,7;433;-9,0;;
Sep;23,1;6.959;-16,9;426;-15,0;;
Ago;23,1;7.997;-14,6;389;-28,8;;
Jul;23,1;7.943;-14,5;436;-10,7;;
Jun;23,1;7.201;-8,2;453;-9,0;;
May;23,1;6.413;-10,7;435;-14,2;;
Abr;23,1;7.410;-12,8;422;-14,2;;
Mar;23,1;6.754;-0,3;433;-17,2;;
Feb;23,1;6.033;-16,3;434;-14,2;;
Ene;23,1;5.968;-8,2;386;-12,9;;
2011 Dic;23,1;7.535;-6,9;391;-20,0;;
Nov;23,1;6.692;-9,9;458;-15,8;;
Oct;23,1;8.075;-8,8;476;-10,7;;
Sep;23,1;8.371;-3,3;501;-8,6;;
Ago;23,1;9.364;-5,5;546;17,4;;
Jul;23,1;9.285;-2,6;488;-10,3;;
Jun;23,1;7.845;-6,8;498;-9,8;;
May;23,1;7.183;-14,0;507;-8,5;;
Abr;23,1;8.499;-3,7;492;-8,4;;
Mar;23,1;6.777;-17,7;523;-8,1;;
Feb;23,1;7.207;-3,0;506;-6,5;;
Ene;23,1;6.500;-4,3;443;-7,9;;
2010 Dic;23,1;8.096;-1,8;489;-4,5;;
Nov;23,1;7.429;-8,0;544;-0,2;;
Oct;23,1;8.853;-2,0;533;-3,4;;
Sep;23,1;8.656;-3,5;548;-4,5;;
Ago;23,1;9.911;-1,8;465;0,2;;
Jul;23,1;9.528;-1,9;544;-3,0;;
Jun;23,1;8.419;-0,6;552;-0,7;;
May;23,1;8.356;-1,0;554;5,9;;
Abr;23,1;8.829;0,7;537;-0,2;;
Mar;23,1;8.231;4,3;569;5,4;;
Feb;23,1;7.432;1,3;541;-0,6;;
Ene;23,1;6.795;6,7;481;-3,2;;
2009 Dic;23,1;8.241;16,3;512;16,9;;
Nov;23,1;8.074;20,4;545;22,5;;
Oct;23,1;9.031;24,5;552;16,9;;
Sep;23,1;8.969;20,6;574;21,6;;
Ago;23,1;10.091;19,2;464;18,4;;
Jul;23,1;9.713;23,5;561;14,5;;
Jun;23,1;8.467;15,8;556;15,6;;
May;23,1;8.442;17,5;523;11,3;;
Abr;23,1;8.770;30,0;538;9,8;;
Mar;23,1;7.893;1,4;540;20,3;;
Feb;23,1;7.337;6,5;544;21,2;;
Ene;23,1;6.369;6,8;497;22,4;;
2008 Dic;23,1;7.084;-0,1;438;9,5;;
Nov;23,1;6.706;-7,1;445;-5,7;;
Oct;23,1;7.251;-4,8;472;-5,4;;
Sep;23,1;7.439;-4,3;472;-0,4;;
Ago;23,1;8.463;1,7;392;-7,5;;
Jul;23,1;7.866;-3,9;490; ;;
Jun;23,1;7.311;-1,0;481;-2,2;;
May;23,1;7.183;7,3;470;-0,4;;
Abr;23,1;6.748;-11,7;490;10,6;;
Mar;23,1;7.783;17,6;449;-4,1;;
Feb;23,1;6.890;10,0;449;5,9;;
Ene;23,1;5.965;12,3;406;2,8;;
2007 Dic;23,1;7.088;8,1;400;4,2;;
Nov;23,1;7.218;23,0;472;6,1;;
Oct;23,1;7.615;16,4;499;27,0;;
Sep;23,1;7.776;18,0;474;24,1;;
Ago;23,1;8.320;13,3;424;29,3;;
Jul;23,1;8.182;14,6;490;33,2;;
Jun;23,1;7.382;16,3;492;27,1;;
May;23,1;6.693;8,2;472;21,6;;
Abr;23,1;7.643;5,7;443;15,7;;
Mar;23,1;6.620;10,0;468;11,2;;
Feb;23,1;6.266;9,3;424;3,9;;
Ene;23,1;5.311;2,9;395;11,9;;
2006 Dic;23,1;6.556;8,7;384;4,3;;
Nov;23,1;5.869;4,5;445;5,5;;
Oct;23,1;6.542;3,5;393;-6,2;;
Sep;23,1;6.588;-1,3;382;-9,3;;
Ago;23,1;7.341;0,9;328;-10,4;;
Jul;23,1;7.141;-2,2;368;-10,5;;
Jun;23,1;6.350;1,8;387;-9,6;;
May;23,1;6.187;0,6;388;-4,7;;
Abr;23,1;7.231;23,4;383;-6,1;;
Mar;23,1;6.018;-1,6;421;9,1;;
