;;;;;;;
;;;;;;;
TRÁFICO EN AUTOPISTAS ESTATALES DE PEAJE;;;;;;;
;;;;;;;
LEON-ASTORGA;;;;;;;
;;;;;;;
;;;;;;;
2016;37,7;4.172;8,4;519;7,5;;
2015;37,7;3.849;6,2;483;6,6;;
2014;37,7;3.623;-0,9;453;3,7;;
2013;37,7;3.656;-9,0;437;-13,6;;
2012;37,7;4.017;-15,3;506;-13,9;;
2011;37,7;4.745;-11,4;588;-15,0;;
2010;37,7;5.357;4,0;692;19,7;;
2009;37,7;5.152;-3,6;578;-16,8;;
2008;37,7;5.347;4,4;695;-1,3;;
2007;37,7;5.123;20,0;704;25,7;;
2006;37,7;4.270;8,3;560;9,2;;
2005;37,7;3.943;5,2;513;4,3;;
2004;37,7;3.749;-12,2;492;27,1;;
2003;37,7;4.272;-83,4;387;-88,8;;
2002;4,0;25.678; ;3.445; ;;
;;;;;;;
;;;;;;;
2017 Mar;37,7;3.919;-5,4;548;10,5;;
Feb;37,7;3.742;9,4;521;1,8;;
Ene;37,7;3.431;6,9;471;4,0;;
2016 Dic;37,7;4.056;5,8;488;7,7;;
Nov;37,7;3.908;7,0;575;10,2;;
Oct;37,7;4.235;7,1;531; ;;
Sep;37,7;4.474;10,7;557;6,7;;
Ago;37,7;5.913;6,8;496;9,5;;
Jul;37,7;4.911;11,7;531;1,7;;
Jun;37,7;4.182;10,0;557;10,5;;
May;37,7;3.902;9,9;522;13,0;;
Abr;37,7;3.652;-5,7;513;13,7;;
Mar;37,7;4.141;19,2;496;5,3;;
Feb;37,7;3.421;11,5;512;10,3;;
Ene;37,7;3.209;9,3;453;3,9;;
2015 Dic;37,7;3.833;9,3;453;10,2;;
Nov;37,7;3.652;9,3;522;18,1;;
Oct;37,7;3.953;10,8;531;8,8;;
Sep;37,7;4.041; ;522;5,5;;
Ago;37,7;5.536;6,2;453;12,7;;
Jul;37,7;4.398;7,3;522;9,0;;
Jun;37,7;3.802;5,9;504;7,5;;
May;37,7;3.551;5,9;462; ;;
Abr;37,7;3.873;3,1;451;-2,0;;
Mar;37,7;3.474;12,2;471;4,0;;
Feb;37,7;3.069;2,6;464;1,1;;
Ene;37,7;2.935;2,8;436;3,3;;
2014 Dic;37,7;3.508;1,2;411;-1,2;;
Nov;37,7;3.342;0,2;442;-4,3;;
Oct;37,7;3.568;-1,7;488;-0,6;;
Sep;37,7;4.041;4,1;495;4,9;;
Ago;37,7;5.211;-1,3;402;-2,9;;
Jul;37,7;4.099;-2,4;479;3,0;;
Jun;37,7;3.590;-1,4;469;11,7;;
May;37,7;3.354;-2,3;462;6,5;;
Abr;37,7;3.758;12,5;460;5,5;;
Mar;37,7;3.097;-12,5;453;12,7;;
Feb;37,7;2.991;-3,9;459;5,5;;
Ene;37,7;2.855;-3,1;422;0,5;;
2013 Dic;37,7;3.466;0,2;416;3,7;;
Nov;37,7;3.336;-3,9;462;-5,9;;
Oct;37,7;3.629;-3,7;491;-1,4;;
Sep;37,7;3.881;-3,8;472;-7,1;;
Ago;37,7;5.278;-4,9;414;-20,2;;
Jul;37,7;4.200;-9,9;465;-9,5;;
Jun;37,7;3.641;-9,1;420;-19,2;;
May;37,7;3.432;-10,6;434;-17,5;;
Abr;37,7;3.341;-22,4;436;-12,6;;
Mar;37,7;3.540;-7,0;402;-26,5;;
Feb;37,7;3.114;-16,2;435;-21,1;;
Ene;37,7;2.945;-17,3;420;-15,8;;
2012 Dic;37,7;3.459;-18,7;401;-20,4;;
Nov;37,7;3.473;-15,9;491;-15,8;;
Oct;37,7;3.769;-17,1;498;-13,8;;
Sep;37,7;4.033;-19,0;508;-15,9;;
Ago;37,7;5.551;-15,7;519;-7,7;;
Jul;37,7;4.662;-16,1;514;-11,7;;
Jun;37,7;4.005;-16,2;520;-18,5;;
May;37,7;3.837;-13,0;526;-14,6;;
Abr;37,7;4.305;-14,1;499;-13,4;;
Mar;37,7;3.806;-11,1;547;-14,0;;
Feb;37,7;3.715;-14,5;551;-12,3;;
Ene;37,7;3.560;-11,5;499;-10,9;;
2011 Dic;37,7;4.254;-10,3;504;-18,2;;
Nov;37,7;4.130;-13,5;583;-19,7;;
Oct;37,7;4.546;-15,4;578;-21,0;;
Sep;37,7;4.976;-10,6;604;-20,1;;
Ago;37,7;6.587;-13,3;562;-19,7;;
Jul;37,7;5.559;-10,0;582;-24,1;;
Jun;37,7;4.777;-10,9;638;-12,6;;
May;37,7;4.410;-13,3;616;-11,5;;
Abr;37,7;5.009;-8,8;576;-13,0;;
Mar;37,7;4.280;-17,6;636;-8,8;;
Feb;37,7;4.346;-7,3;628;-3,8;;
Ene;37,7;4.021;-3,5;560;-3,4;;
2010 Dic;37,7;4.745;-1,0;616;13,4;;
Nov;37,7;4.776;2,9;726;26,3;;
Oct;37,7;5.372;3,1;732;20,6;;
Sep;37,7;5.568;5,3;756;23,7;;
Ago;37,7;7.597;5,3;700;41,7;;
Jul;37,7;6.174;6,8;767;26,6;;
Jun;37,7;5.361;7,1;730;25,2;;
May;37,7;5.084;5,8;696;22,3;;
Abr;37,7;5.492;0,8;662;16,3;;
Mar;37,7;5.193;3,2;697;7,9;;
Feb;37,7;4.686;6,0;653;12,6;;
Ene;37,7;4.167;1,7;580;5,3;;
2009 Dic;37,7;4.794;-1,7;543;-1,3;;
Nov;37,7;4.643;-2,1;575;-11,7;;
Oct;37,7;5.213;-0,9;607;-17,2;;
Sep;37,7;5.289;-7,0;611;-16,1;;
Ago;37,7;7.218;-4,8;494;-17,4;;
Jul;37,7;5.779;-4,3;606;-21,6;;
Jun;37,7;5.004;-3,1;583;-15,6;;
May;37,7;4.806;-5,9;569;-20,5;;
Abr;37,7;5.446;11,6;569;-26,2;;
Mar;37,7;5.034;-8,8;646;-7,8;;
Feb;37,7;4.419;-8,6;580;-21,0;;
Ene;37,7;4.098;-6,9;551;-21,6;;
2008 Dic;37,7;4.876;-3,0;550;-11,9;;
Nov;37,7;4.744;-8,1;651;-17,5;;
Oct;37,7;5.262;-4,9;733;-9,2;;
Sep;37,7;5.687;2,7;728;-3,8;;
Ago;37,7;7.578;3,8;598;-9,3;;
Jul;37,7;6.040;3,1;773;3,2;;
Jun;37,7;5.162;-0,1;691;-7,1;;
May;37,7;5.109;7,5;716;-2,7;;
Abr;37,7;4.882;-6,2;771;22,2;;
Mar;37,7;5.518;32,6;701;2,0;;
Feb;37,7;4.836;18,7;734;10,7;;
Ene;37,7;4.404;21,9;703;18,0;;
2007 Dic;37,7;5.029;17,3;624;16,0;;
Nov;37,7;5.164;27,3;789;20,3;;
Oct;37,7;5.533;26,8;807;27,1;;
Sep;37,7;5.537;22,7;757;24,3;;
Ago;37,7;7.298;20,7;659;26,5;;
Jul;37,7;5.861;20,3;749;32,3;;
Jun;37,7;5.168;23,3;744;27,8;;
May;37,7;4.751;20,2;736;29,6;;
Abr;37,7;5.205;14,4;631;27,5;;
Mar;37,7;4.161;14,9;687;23,8;;
Feb;37,7;4.074;18,4;663;26,3;;
Ene;37,7;3.613;10,4;596;25,5;;
2006 Dic;37,7;4.289;11,3;538;10,9;;
Nov;37,7;4.057;14,6;656;13,1;;
Oct;37,7;4.365;15,1;635;32,0;;
Sep;37,7;4.514;7,4;609;10,5;;
Ago;37,7;6.044;2,7;521;6,5;;
Jul;37,7;4.870;4,0;566;4,2;;
Jun;37,7;4.192;7,4;582;5,6;;
May;37,7;3.951;6,6;568;9,9;;
Abr;37,7;4.550;29,5;495;-8,2;;
Mar;37,7;3.622;-7,4;555;11,0;;
Feb;37,7;3.440;7,8;525;4,8;;
Ene;37,7;3.273;7,2;475;11,8;;
2005 Dic;37,7;3.855;3,0;485;2,3;;
Nov;37,7;3.539;-1,5;580;6,2;;
Oct;37,7;3.793;-2,5;481;-4,8;;
Sep;37,7;4.202;5,0;551;5,8;;
Ago;37,7;5.885;47,1;489;-6,1;;
Jul;37,7;4.682;6,5;543;2,8;;
Jun;37,7;3.904;8,6;551;9,8;;
May;37,7;3.705;11,3;517;7,9;;
