;;;;;;;
;;;;;;;
TRÁFICO EN AUTOPISTAS ESTATALES DE PEAJE;;;;;;;
;;;;;;;
SANTIAGO-ALTO DE STO.DOMINGO;;;;;;;
;;;;;;;
;;;;;;;
2016;56,4;6.302;4,3;380;4,7;;
2015;56,4;6.042;6,7;363;6,8;;
2014;56,4;5.662;2,5;340;6,3;;
2013;56,6;5.524;11,5;320;11,1;;
2012;56,6;4.954;-14,3;288;-14,0;;
2011;56,6;5.784;-6,1;335;-7,7;;
2010;56,6;6.159;5,0;363;2,0;;
2009;56,6;5.865;3,2;356;-8,7;;
2008;56,6;5.683;3,6;390;0,5;;
2007;56,6;5.483;13,4;388;15,8;;
2006;56,6;4.833;8,7;335;9,5;;
2005;56,6;4.448;1,8;306;8,1;;
2004;56,6;4.369;20,9;283;31,0;;
2003;34,1;3.614; ;216; ;;
;;;;;;;
;;;;;;;
2017 Mar;56,4;6.078;-0,5;412;12,6;;
Feb;56,4;5.868;5,6;374;1,9;;
Ene;56,4;5.529;3,2;355;8,9;;
2016 Dic;56,4;6.078;2,8;343;1,5;;
Nov;56,4;6.033;4,0;396;6,2;;
Oct;56,4;6.319;4,4;389;2,9;;
Sep;56,4;6.725;4,8;408;1,5;;
Ago;56,4;7.670;2,9;395;11,3;;
Jul;56,4;7.166;6,3;389;-1,5;;
Jun;56,4;6.624;5,8;414;6,2;;
May;56,4;6.141;8,6;383;13,3;;
Abr;56,4;5.832;-2,8;384;8,2;;
Mar;56,4;6.107;8,8;366;1,4;;
Feb;56,4;5.555;0,1;367;1,7;;
Ene;56,4;5.357;7,1;326;3,5;;
2015 Dic;56,4;5.912;4,3;338;3,7;;
Nov;56,4;5.802;6,6;373;12,7;;
Oct;56,4;6.050;6,8;378; ;;
Sep;56,4;6.417;7,0;402;7,8;;
Ago;56,4;7.452;8,0;355;6,9;;
Jul;56,4;6.742;7,5;395;9,4;;
Jun;56,4;6.263;5,6;390;6,3;;
May;56,4;5.655;4,3;338;-1,5;;
Abr;56,4;6.003;5,7;355;5,3;;
Mar;56,4;5.615;7,1;361;12,5;;
Feb;56,4;5.551;12,6;361;13,2;;
Ene;56,4;5.002;5,6;315;6,8;;
2014 Dic;56,4;5.666;4,7;326;13,6;;
Nov;56,4;5.441;1,2;331;4,1;;
Oct;56,4;5.666;3,3;378;9,6;;
Sep;56,4;5.997;1,5;373;13,0;;
Ago;56,4;6.903;3,1;332;2,5;;
Jul;56,4;6.273;1,0;361;0,8;;
Jun;56,4;5.932;0,1;367;8,9;;
May;56,4;5.420;0,1;343;3,0;;
Abr;56,4;5.678;9,3;337;1,8;;
Mar;56,6;5.243;1,2;321;13,8;;
Feb;56,6;4.928;-3,6;319;-0,3;;
Ene;56,6;4.738;4,3;295;4,2;;
2013 Dic;56,6;5.412;22,7;287;22,1;;
Nov;56,6;5.375;20,6;318;11,6;;
Oct;56,6;5.487;17,0;345;19,4;;
Sep;56,6;5.906;17,4;330;20,0;;
Ago;56,6;6.696;14,1;324;12,5;;
Jul;56,6;6.209;9,6;358;18,2;;
Jun;56,6;5.926;9,5;337;-0,6;;
May;56,6;5.415;12,1;333;12,1;;
Abr;56,6;5.193;2,9;331;19,1;;
Mar;56,6;5.181;6,6;282;-4,1;;
Feb;56,6;5.111;5,4;320;3,9;;
Ene;56,6;4.544;1,5;283;5,2;;
2012 Dic;56,6;4.410;-17,0;235;-16,7;;
Nov;56,6;4.458;-16,7;285;-14,9;;
Oct;56,6;4.689;-17,8;289;-11,3;;
Sep;56,6;5.030;-18,8;275;-22,8;;
Ago;56,6;5.867;-14,3;288;-17,2;;
Jul;56,6;5.665;-13,4;303;-9,3;;
Jun;56,6;5.412;-12,2;339;-12,6;;
May;56,6;4.832;-11,6;297;-13,9;;
Abr;56,6;5.048;-13,2;278;-14,5;;
Mar;56,6;4.860;-11,1;294;-17,2;;
Feb;56,6;4.847;-13,2;308;-11,2;;
Ene;56,6;4.479;-9,9;269;-6,6;;
2011 Dic;56,6;5.313;-8,0;282;-13,8;;
Nov;56,6;5.352;-8,8;335;-10,4;;
Oct;56,6;5.707;-8,9;326;-14,4;;
Sep;56,6;6.193;-6,8;356;-8,0;;
Ago;56,6;6.845;-7,3;348;-1,7;;
Jul;56,6;6.539;-4,5;334;-12,3;;
Jun;56,6;6.162;-5,4;388;-6,1;;
May;56,6;5.468;-7,9;345;-7,0;;
Abr;56,6;5.813;-4,8;325;-9,2;;
Mar;56,6;5.467;-8,6;355;-3,3;;
Feb;56,6;5.581;0,1;347;-2,0;;
Ene;56,6;4.972;-0,0;288;-1,4;;
2010 Dic;56,6;5.774;2,5;327; ;;
Nov;56,6;5.869;-2,5;374;4,2;;
Oct;56,6;6.264;1,4;381;1,1;;
Sep;56,6;6.643;5,2;387;-2,0;;
Ago;56,6;7.387;7,3;354;3,2;;
Jul;56,6;6.847;5,3;381;-2,6;;
Jun;56,6;6.512;4,9;413;3,3;;
May;56,6;5.939;5,1;371;9,1;;
Abr;56,6;6.104;10,6;358;5,3;;
Mar;56,6;5.982;11,7;367;8,3;;
Feb;56,6;5.576;4,2;354;0,6;;
Ene;56,6;4.974;5,0;292;-6,4;;
2009 Dic;56,6;5.634;2,9;327;-3,5;;
Nov;56,6;6.018;5,0;359;-3,0;;
Oct;56,6;6.179;8,0;377;-7,4;;
Sep;56,6;6.315;6,6;395;-0,5;;
Ago;56,6;6.883;11,1;343;-2,6;;
Jul;56,6;6.505;7,9;391;-3,9;;
