;;;;;;;
;;;;;;;
TRÁFICO EN AUTOPISTAS ESTATALES DE PEAJE;;;;;;;
;;;;;;;
SEGOVIA-SAN RAFAEL;;;;;;;
;;;;;;;
;;;;;;;
2016;27,7;7.486;7,2;586;7,9;;
2015;27,7;6.982;7,8;543;8,4;;
2014;27,7;6.479;5,6;501;3,3;;
2013;27,7;6.136;-2,4;485;-3,4;;
2012;27,7;6.288;-2,8;502;-3,8;;
2011;27,7;6.472;-1,3;522;-4,4;;
2010;27,7;6.556;4,1;546;-1,4;;
2009;27,7;6.297;5,5;554;-10,6;;
2008;27,7;5.966;-3,4;620;-8,3;;
2007;27,7;6.177;11,4;676;13,0;;
2006;27,7;5.544;10,5;598;11,8;;
2005;27,7;5.015;5,2;535;7,9;;
2004;27,7;4.769;-0,8;496;-7,6;;
2003;27,7;4.806; ;537; ;;
;;;;;;;
;;;;;;;
2017 Mar;27,7;7.563;-2,3;676;16,0;;
Feb;27,7;7.342;9,5;606;3,4;;
Ene;27,7;6.841;7,1;548;17,6;;
2016 Dic;27,7;7.995;7,2;513;7,3;;
Nov;27,7;7.225;3,4;626;15,5;;
Oct;27,7;7.971;8,1;629;3,8;;
Sep;27,7;7.828;8,0;626;6,1;;
Ago;27,7;7.552;5,4;524;9,6;;
Jul;27,7;8.216;10,7;559;2,0;;
Jun;27,7;7.611;8,4;662;12,2;;
May;27,7;7.610;5,7;629;10,2;;
Abr;27,7;6.936;-2,7;638;17,7;;
Mar;27,7;7.738;18,1;583;4,3;;
Feb;27,7;6.702;7,5;586;3,2;;
Ene;27,7;6.386;7,7;466;2,4;;
2015 Dic;27,7;7.459;5,8;478;5,1;;
Nov;27,7;6.985;6,4;542;12,4;;
Oct;27,7;7.377;11,0;606;6,1;;
Sep;27,7;7.250;8,1;590;6,5;;
Ago;27,7;7.167;7,9;478;17,2;;
Jul;27,7;7.424;7,6;548;6,8;;
Jun;27,7;7.021;5,0;590;8,9;;
May;27,7;7.202;8,8;571;4,2;;
Abr;27,7;7.129;7,8;542;2,3;;
Mar;27,7;6.550;9,3;559;14,3;;
Feb;27,7;6.232;8,3;568;15,7;;
Ene;27,7;5.932;7,1;455;6,6;;
2014 Dic;27,7;7.051;6,0;455;9,6;;
Nov;27,7;6.563;4,7;482;1,3;;
Oct;27,7;6.643;7,9;571;4,0;;
Sep;27,7;6.708;6,1;554;11,5;;
Ago;27,7;6.643;9,2;408;-1,4;;
Jul;27,7;6.899;8,1;513;5,3;;
Jun;27,7;6.684;4,1;542;3,4;;
May;27,7;6.619;6,6;548;2,0;;
Abr;27,7;6.611;15,1;530;-0,2;;
Mar;27,7;5.990;-4,5;489;9,2;;
Feb;27,7;5.752;1,5;491;-3,5;;
Ene;27,7;5.540;2,3;427;-5,1;;
2013 Dic;27,7;6.652;10,5;415;7,5;;
Nov;27,7;6.266;-9,5;476;-20,3;;
Oct;27,7;6.155;-14,9;549;-18,1;;
Sep;27,7;6.322;6,9;497;10,4;;
Ago;27,7;6.086;6,9;414;3,8;;
Jul;27,7;6.385;-3,1;487;2,7;;
Jun;27,7;6.422;-18,6;524;-23,3;;
May;27,7;6.210;1,2;537;2,9;;
Abr;27,7;5.743;-5,8;531;14,2;;
Mar;27,7;6.270;6,9;448;-4,7;;
Feb;27,7;5.667;1,5;509;5,6;;
Ene;27,7;5.414;-1,8;450;3,7;;
2012 Dic;27,7;6.022;-8,9;386;-11,1;;
Nov;27,7;6.923;14,2;597;16,8;;
Oct;27,7;7.232;5,8;670;25,9;;
Sep;27,7;5.912;-13,2;450;-19,4;;
Ago;27,7;5.692;-12,3;399;-20,4;;
Jul;27,7;6.588;-8,6;474;-7,2;;
Jun;27,7;7.894;18,4;683;18,4;;
May;27,7;6.138;-2,7;522;-8,3;;
Abr;27,7;6.099;-6,7;465;-11,1;;
