;;;;;;;
;;;;;;;
TRÁFICO EN AUTOPISTAS ESTATALES DE PEAJE;;;;;;;
;;;;;;;
MADRID-GUADALAJARA;;;;;;;
;;;;;;;
;;;;;;;
2016;62,3;4.915;7,1;435;9,6;;
2015;62,3;4.591;6,2;397;5,0;;
2014;62,3;4.325;-5,7;378;-3,8;;
2013;62,3;4.588;-22,6;393;-17,8;;
2012;62,3;5.928;-24,0;478;-29,9;;
2011;62,3;7.800;-15,9;682;-22,2;;
2010;62,3;9.278;-1,1;877;-2,6;;
2009;62,3;9.378;-11,5;900;-26,2;;
2008;62,3;10.594;-4,0;1.219;-9,8;;
2007;62,3;11.034;16,1;1.351;30,3;;
2006;62,3;9.500;23,9;1.037;47,9;;
2005;62,3;7.668;24,1;701;31,8;;
2004;62,5;6.180;23,5;532;21,2;;
2003;62,5;5.003; ;439; ;;
;;;;;;;
;;;;;;;
2017 Mar;62,3;5.846;13,8;523;27,9;;
Feb;62,3;5.377;10,5;487;12,7;;
Ene;62,3;4.412;6,1;414;21,1;;
2016 Dic;62,3;4.883;4,7;414;11,0;;
Nov;62,3;5.099;6,0;498;19,4;;
Oct;62,3;5.281;0,6;466;5,9;;
Sep;62,3;5.233;7,8;471;10,0;;
Ago;62,3;3.997;8,6;378;23,9;;
Jul;62,3;5.266;4,1;461;6,0;;
Jun;62,3;5.222;9,2;487;10,9;;
May;62,3;4.940;8,7;435;10,4;;
Abr;62,3;4.917;2,6;428;9,5;;
Mar;62,3;5.136;11,1;409;-2,4;;
Feb;62,3;4.865;13,5;432;10,8;;
Ene;62,3;4.158;11,4;342;1,5;;
2015 Dic;62,3;4.665;8,0;373;3,0;;
Nov;62,3;4.810;12,8;417;5,3;;
Oct;62,3;5.250;6,6;440;-1,1;;
Sep;62,3;4.853;8,0;428;2,6;;
Ago;62,3;3.681;1,9;305; ;;
Jul;62,3;5.059;11,0;435;7,7;;
Jun;62,3;4.783;8,6;439;10,9;;
May;62,3;4.546;7,7;394;7,1;;
Abr;62,3;4.794;4,1;391;6,0;;
Mar;62,3;4.624;7,9;419;17,4;;
Feb;62,3;4.288;0,5;390;4,8;;
Ene;62,3;3.733;-5,7;337;-2,0;;
2014 Dic;62,3;4.318;-1,4;362;7,1;;
Nov;62,3;4.264;-4,1;396;3,4;;
Oct;62,3;4.924; ;445;4,0;;
Sep;62,3;4.494;-0,3;417;6,4;;
Ago;62,3;3.614;-6,1;305;-1,6;;
Jul;62,3;4.557;-7,3;404;-3,6;;
Jun;62,3;4.403;-7,5;396;-1,2;;
May;62,3;4.220;-6,3;368;-6,4;;
Abr;62,3;4.607;-1,6;369;-12,4;;
Mar;62,3;4.287;-13,9;357;-7,0;;
Feb;62,3;4.266;-8,1;372;-12,9;;
Ene;62,3;3.958;-9,8;344;-16,5;;
2013 Dic;62,3;4.380;-9,2;338;-12,7;;
Nov;62,3;4.448;-13,3;383;-12,0;;
Oct;62,3;4.924;-17,6;428;-11,4;;
Sep;62,3;4.506;-20,9;392;-12,7;;
Ago;62,3;3.847;-22,3;310;-19,7;;
Jul;62,3;4.917;-25,6;419;-20,5;;
Jun;62,3;4.761;-28,2;401;-26,2;;
May;62,3;4.502;-26,5;393;-22,9;;
Abr;62,3;4.681;-24,9;421;-13,9;;
Mar;62,3;4.978;-25,5;384;-27,3;;
Feb;62,3;4.642;-26,1;427;-20,0;;
Ene;62,3;4.388;-27,0;412;-12,5;;
2012 Dic;62,3;4.826;-26,5;387;-20,5;;
Nov;62,3;5.133;-27,0;435;-29,3;;
Oct;62,3;5.978;-21,8;483;-23,6;;
Sep;62,3;5.697;-27,1;449;-33,0;;
Ago;62,3;4.954;-27,5;386;-36,4;;
Jul;62,3;6.605;-26,7;527;-32,3;;
Jun;62,3;6.627;-20,5;543;-27,8;;
May;62,3;6.128;-21,2;510;-28,2;;
Abr;62,3;6.233;-25,2;489;-29,6;;
Mar;62,3;6.685;-19,0;528;-32,5;;
Feb;62,3;6.278;-27,8;534;-32,9;;
Ene;62,3;6.010;-18,9;471;-30,2;;
2011 Dic;62,3;6.564;-24,8;487;-38,8;;
Nov;62,3;7.032;-20,1;615;-31,7;;
Oct;62,3;7.647;-20,0;632;-30,0;;
Sep;62,3;7.812;-15,4;670;-26,1;;
Ago;62,3;6.832;-8,7;607;-2,7;;
Jul;62,3;9.014;-12,8;778;-22,4;;
Jun;62,3;8.336;-16,0;752;-24,9;;
May;62,3;7.778;-20,9;710;-24,2;;
Abr;62,3;8.328;-16,7;695;-25,9;;
Mar;62,3;8.256;-17,7;782;-10,3;;
Feb;62,3;8.695;-8,6;796;-10,9;;
Ene;62,3;7.409;-6,9;675;-11,8;;
2010 Dic;62,3;8.730;-4,1;796;-8,9;;
Nov;62,3;8.797;-5,9;900;-6,6;;
Oct;62,3;9.561;-7,4;903;-10,6;;
Sep;62,3;9.236;-4,7;907;-3,7;;
Ago;62,3;7.480;-3,3;624;4,0;;
Jul;62,3;10.341;-1,7;1.002;-1,4;;
Jun;62,3;9.924;2,3;1.001;6,0;;
May;62,3;9.832;5,0;937;8,2;;
Abr;62,3;9.993;2,7;938;9,3;;
Mar;62,3;10.029;4,5;872;-2,8;;
Feb;62,3;9.510;0,5;893;-8,2;;
Ene;62,3;7.956;-0,5;765;-11,3;;
2009 Dic;62,3;9.101;-3,2;874;-4,5;;
Nov;62,3;9.348;-3,2;964;-9,1;;
Oct;62,3;10.330;-6,0;1.010;-19,3;;
Sep;62,3;9.696;-8,0;942;-21,7;;
Ago;62,3;7.739;-9,6;600;-22,1;;
Jul;62,3;10.517;-7,0;1.016;-21,7;;
Jun;62,3;9.705;-16,1;944;-30,5;;
May;62,3;9.361;-13,3;866;-33,2;;
Abr;62,3;9.731;-14,4;858;-40,8;;
Mar;62,3;9.594;-13,7;897;-29,6;;
Feb;62,3;9.461;-18,7;973;-34,4;;
Ene;62,3;7.994;-21,9;862;-32,9;;
2008 Dic;62,3;9.403;-8,6;915;-22,2;;
Nov;62,3;9.661;-20,3;1.061;-34,5;;
Oct;62,3;10.993;-15,4;1.252;-26,5;;
Sep;62,3;10.543;-6,7;1.203;-9,7;;
Ago;62,3;8.564;-7,9;770;-19,9;;
Jul;62,3;11.312;-5,4;1.297;-9,2;;
Jun;62,3;11.571;-0,8;1.358;-10,3;;
May;62,3;10.802;-0,2;1.297;-5,9;;
Abr;62,3;11.373;3,0;1.449;13,0;;
Mar;62,3;11.123;-1,3;1.275;-8,9;;
Feb;62,3;11.639;12,0;1.483;16,2;;
Ene;62,3;10.231;10,5;1.284;11,8;;
2007 Dic;62,3;10.286;6,4;1.176;13,1;;
Nov;62,3;12.129;15,3;1.619;17,8;;
Oct;62,3;12.991;17,4;1.704;26,2;;
Sep;62,3;11.304;13,6;1.332;21,6;;
Ago;62,3;9.299;18,6;961;31,6;;
Jul;62,3;11.953;18,1;1.428;37,3;;
Jun;62,3;11.669;16,1;1.514;32,6;;
May;62,3;10.819;11,4;1.378;26,2;;
Abr;62,3;11.037;13,5;1.282;31,8;;
Mar;62,3;11.266;22,4;1.400;39,7;;
Feb;62,3;10.393;20,7;1.276;40,4;;
Ene;62,3;9.259;22,7;1.148;59,4;;
2006 Dic;62,3;9.663;20,6;1.040;45,7;;
Nov;62,3;10.519;29,3;1.374;48,4;;
Oct;62,3;11.065;35,0;1.350;69,6;;
Sep;62,3;9.951;25,5;1.095;54,7;;
Ago;62,3;7.843;17,5;730;33,9;;
Jul;62,3;10.121;15,3;1.040;33,2;;
Jun;62,3;10.048;19,9;1.142;45,7;;
May;62,3;9.712;21,5;1.092;52,9;;
Abr;62,3;9.721;28,2;973;35,7;;
Mar;62,3;9.208;20,4;1.002;61,6;;
Feb;62,3;8.609;26,4;909;48,3;;
Ene;62,3;7.547;29,1;720;45,2;;
2005 Dic;62,3;8.010;12,8;714;17,8;;
Nov;62,3;8.137;14,8;926;28,4;;
Oct;62,3;8.197;9,8;796;8,9;;
Sep;62,3;7.926;22,1;708;28,0;;
Ago;62,3;6.675;2,9;545;-1,4;;
Jul;62,3;8.781;24,9;781;37,3;;
Jun;62,3;8.381;28,2;784;40,5;;
May;62,3;7.991;37,9;714;45,4;;
Abr;62,3;7.583;26,2;717;48,4;;
Mar;62,3;7.650;34,6;620;20,4;;
Feb;62,3;6.809;34,2;613;40,6;;
Ene;62,3;5.845;33,3;496;35,1;;
2004 Dic;62,5;7.102;42,5;606;48,5;;
Nov;62,5;7.090;48,3;721;67,3;;
Oct;62,5;7.465;41,1;731;50,7;;
Sep;62,5;6.490; ;553; ;;
Ago;62,5;6.490; ;553; ;;
Jul;62,5;7.028; ;569; ;;
Jun;62,5;6.537; ;558; ;;
May;62,5;5.795; ;491; ;;
Abr;62,5;6.009; ;483; ;;
Mar;62,5;5.684; ;515; ;;
Feb;62,5;5.073; ;436; ;;
Ene;62,5;4.384; ;367; ;;
2003 Dic;62,5;4.985; ;408; ;;
Nov;62,5;4.781; ;431; ;;
Oct;62,5;5.291; ;485; ;;
;;;;;;;
"""Fuente: M.Fomento""";;;;;;;
Variación respecto al mismo periodo del año anterior;;;;;;;
;;;;;;;
*;;;;;;;
