;;;;;;;
;;;;;;;
TRÁFICO EN AUTOPISTAS ESTATALES DE PEAJE;;;;;;;
;;;;;;;
MADRID-NAVALCARNERO;;;;;;;
;;;;;;;
;;;;;;;
2016;31,6;8.033;16,2;263;21,8;;
2015;31,6;6.915;10,3;216;18,0;;
2014;31,6;6.268;-3,7;183;3,4;;
2013;31,6;6.511;-14,5;177;-22,0;;
2012;31,6;7.612;-19,8;227;-23,1;;
2011;31,6;9.491;-9,4;295;-13,0;;
2010;31,6;10.478;-1,8;339;-1,7;;
2009;31,6;10.668;-5,7;345;-23,8;;
2008;28,9;11.309;-4,7;453;-12,0;;
2007;28,9;11.864;16,2;515;21,2;;
2006;28,9;10.208;28,8;425;50,7;;
2005;28,9;7.923;15,9;282;28,8;;
2004;28,9;6.837; ;219; ;;
;;;;;;;
;;;;;;;
2017 Mar;31,6;8.506;13,2;306;30,2;;
Feb;31,6;7.452;19,7;282;17,5;;
Ene;31,6;6.955;18,8;265;36,6;;
2016 Dic;31,6;8.322;16,6;275;22,8;;
Nov;31,6;9.021;27,4;337;39,3;;
Oct;31,6;10.331;38,4;347;47,7;;
Sep;31,6;8.399;22,0;274;24,0;;
Ago;31,6;6.884;8,0;204;17,9;;
Jul;31,6;9.413;18,6;255;13,8;;
Jun;31,6;8.589;13,4;285;22,8;;
May;31,6;8.179;12,8;255;19,2;;
Abr;31,6;7.588;-1,5;263;19,0;;
Mar;31,6;7.516;14,4;235;4,9;;
Feb;31,6;6.225;9,8;240;25,0;;
Ene;31,6;5.854;11,3;194;5,4;;
2015 Dic;31,6;7.139;7,4;224;29,5;;
Nov;31,6;7.082;15,7;242;27,4;;
Oct;31,6;7.465;12,8;235;4,9;;
Sep;31,6;6.882;8,1;221;10,5;;
Ago;31,6;6.374;6,8;173;13,1;;
Jul;31,6;7.934;14,7;224;9,8;;
Jun;31,6;7.577;13,9;232;56,8;;
May;31,6;7.251;11,4;214;39,9;;
Abr;31,6;7.704;9,8;221;23,5;;
Mar;31,6;6.568;15,4;224;29,5;;
Feb;31,6;5.668;5,5;192;-1,0;;
Ene;31,6;5.262;-9,0;184;-19,7;;
2014 Dic;31,6;6.649;4,8;173;16,1;;
Nov;31,6;6.123;-4,0;190;3,8;;
Oct;31,6;6.619;-6,7;224;30,2;;
Sep;31,6;6.365;-12,9;200;61,3;;
Ago;31,6;5.966;-14,2;153;4,8;;
Jul;31,6;6.915;-15,0;204;-22,7;;
Jun;31,6;6.650;-13,1;148;-32,7;;
May;31,6;6.507;-11,2;153;-24,6;;
Abr;31,6;7.019;-1,3;179;-20,4;;
Mar;31,6;5.691;-21,8;173;-13,9;;
Feb;31,6;5.373;-19,5;194;-6,7;;
Ene;31,6;5.785;-5,6;229;11,7;;
2013 Dic;31,6;6.345;-15,6;149;-28,7;;
Nov;31,6;6.378;-12,9;183;-20,8;;
Oct;31,6;7.097;-13,1;172;-29,5;;
Sep;31,6;7.304;-10,6;124;-46,1;;
Ago;31,6;6.953;-10,9;146;-26,3;;
