;;;;;;;
;;;;;;;
TRÁFICO EN AUTOPISTAS ESTATALES DE PEAJE;;;;;;;
;;;;;;;
MADRID-OCAÑA;;;;;;;
;;;;;;;
;;;;;;;
2016;52,5;5.136;7,5;348;18,4;;
2015;52,5;4.779;5,8;294;11,4;;
2014;52,5;4.516;-2,9;264;-4,3;;
2013;52,5;4.651;-15,3;276;-12,7;;
2012;52,5;5.489;-17,8;316;-20,2;;
2011;52,5;6.676;-17,5;396;-22,4;;
2010;52,5;8.096;-8,4;510;14,6;;
2009;52,5;8.835;-15,1;445;-25,2;;
2008;52,5;10.402;-8,3;595;-10,4;;
2007;52,5;11.346;24,0;664;26,0;;
2006;52,5;9.150;37,3;527;36,9;;
2005;52,5;6.664;4,9;385;9,1;;
2004;52,5;6.350; ;353; ;;
;;;;;;;
;;;;;;;
2017 Mar;52,5;4.768;-22,7;363;3,7;;
Feb;52,5;3.830;12,6;333;15,2;;
Ene;52,5;3.435;12,0;276;12,2;;
2016 Dic;52,5;4.731;12,2;326;18,1;;
Nov;52,5;4.222;14,0;368;26,0;;
Oct;52,5;4.682;2,4;350;26,8;;
Sep;52,5;5.492;15,0;387;17,3;;
Ago;52,5;7.717;1,4;387;12,5;;
Jul;52,5;8.178;17,6;399;6,4;;
Jun;52,5;4.984;3,1;400;23,5;;
May;52,5;4.664;-2,1;338;17,0;;
Abr;52,5;4.152;-31,2;330;10,7;;
Mar;52,5;6.169;55,7;350;26,8;;
Feb;52,5;3.402;14,2;289;21,4;;
Ene;52,5;3.066;10,2;246;21,2;;
2015 Dic;52,5;4.215;7,9;276;18,5;;
Nov;52,5;3.702;7,0;292;15,0;;
Oct;52,5;4.571;21,6;276; ;;
Sep;52,5;4.775;4,5;330;18,3;;
Ago;52,5;7.607;-1,3;344;21,6;;
Jul;52,5;6.955;13,1;375;22,1;;
Jun;52,5;4.832;8,4;324;16,1;;
May;52,5;4.762;2,5;289;4,7;;
Abr;52,5;6.038;-7,3;298; ;;
Mar;52,5;3.963;28,2;276;21,6;;
Feb;52,5;2.980;1,3;238;3,9;;
Ene;52,5;2.783;-2,7;203;-7,7;;
2014 Dic;52,5;3.908;2,4;233;-0,9;;
Nov;52,5;3.460;-4,5;254;1,6;;
Oct;52,5;3.760;-2,7;276;-5,2;;
Sep;52,5;4.571;-5,5;279;-6,1;;
Ago;52,5;7.705;-0,5;283;-9,6;;
Jul;52,5;6.151;-5,3;307;-8,6;;
Jun;52,5;4.457;-3,1;279;-3,8;;
May;52,5;4.645;-2,5;276;0,4;;
Abr;52,5;6.514;62,1;298;9,2;;
Mar;52,5;3.091;-44,3;227;-9,9;;
Feb;52,5;2.943;-8,2;229;-9,8;;
Ene;52,5;2.860;-8,3;220;-8,7;;
2013 Dic;52,5;3.818;-8,4;235;-6,7;;
Nov;52,5;3.623;-5,9;250;-8,4;;
Oct;52,5;3.864;-16,9;291;-3,6;;
Sep;52,5;4.835;-13,0;297;-9,7;;
