;;;;;;;
;;;;;;;
TRÁFICO EN AUTOPISTAS ESTATALES DE PEAJE;;;;;;;
;;;;;;;
EJE-AEROPUERTO;;;;;;;
;;;;;;;
;;;;;;;
2016;9,4;20.590;5,4;663;-0,7;;
2015;9,4;19.538;6,0;668;10,0;;
2014;9,4;18.435;3,1;607;3,1;;
2013;9,4;17.884;-2,3;589;3,9;;
2012;9,4;18.298;-0,2;567;26,8;;
2011;9,4;18.336;-5,5;447;8,2;;
2010;9,4;19.395;-1,1;413;21,1;;
2009;9,4;19.609;-2,6;341;-29,5;;
2008;9,4;20.134;0,8;484;-17,7;;
2007;9,4;19.979;9,3;588;-10,0;;
2006;9,4;18.280;78,5;653;97,9;;
2005;9,4;10.242; ;330; ;;
;;;;;;;
2017 Mar;9,4;22.143;12,7;786;15,1;;
Feb;9,4;21.300;5,3;757;15,0;;
Ene;9,4;19.751;7,2;615;5,9;;
2016 Dic;9,4;19.410;2,0;581;-10,5;;
Nov;9,4;21.504;5,5;671; ;;
Oct;9,4;21.733;0,6;683;-4,9;;
Sep;9,4;22.422;4,6;706; ;;
Ago;9,4;16.949;5,8;615; ;;
Jul;9,4;20.845;2,7;649; ;;
Jun;9,4;23.411;17,8;742;23,7;;
May;9,4;21.323;8,1;683;5,2;;
Abr;9,4;21.363;8,8;706;-9,1;;
Mar;9,4;19.649;-0,2;683;-13,1;;
Feb;9,4;20.237;5,5;658;8,8;;
Ene;9,4;18.419;4,3;581; ;;
2015 Dic;9,4;19.034;3,9;649;5,5;;
Nov;9,4;20.374;6,1;671;11,8;;
Oct;9,4;21.597;4,8;718;10,6;;
Sep;9,4;21.434;7,2;706;11,0;;
Ago;9,4;16.027;6,4;615;5,9;;
Jul;9,4;20.298;5,1;649;5,5;;
Jun;9,4;19.880;2,2;600;-5,7;;
May;9,4;19.717;7,3;649;5,5;;
Abr;9,4;19.633;8,6;777;29,5;;
Mar;9,4;19.683;8,1;786;27,8;;
Feb;9,4;19.181;6,9;605;3,4;;
Ene;9,4;17.667;5,8;581;5,6;;
2014 Dic;9,4;18.316;9,3;615;13,1;;
Nov;9,4;19.209;5,3;600;-1,3;;
Oct;9,4;20.606;5,0;649;1,2;;
Sep;9,4;19.986;5,6;636;3,2;;
Ago;9,4;15.070;4,6;581;8,6;;
Jul;9,4;19.307;3,6;615;2,7;;
Jun;9,4;19.456;-0,0;636;3,8;;
May;9,4;18.384;1,0;615;1,8;;
Abr;9,4;18.079;-3,3;600;-0,8;;
Mar;9,4;18.214;10,5;615;11,4;;
Feb;9,4;17.943;0,0;585;-1,5;;
Ene;9,4;16.700;-3,5;550;-1,8;;
2013 Dic;9,4;16.754;0,0;544;1,1;;
Nov;9,4;18.245;0,2;608;0,2;;
Oct;9,4;19.634;-0,7;641;-0,3;;
Sep;9,4;18.934;-1,4;616;-0,6;;
Ago;9,4;14.408;-3,6;535;2,1;;
Jul;9,4;18.641;-1,6;599;2,6;;
Jun;9,4;19.458;-4,5;613;-2,5;;
May;9,4;18.201;-4,2;604;0,2;;
Abr;9,4;18.689;6,2;605;3,4;;
Mar;9,4;16.477;-13,5;552;5,3;;
Feb;9,4;17.941;-4,1;594;23,5;;
Ene;9,4;17.312;0,9;560;26,4;;
2012 Dic;9,4;16.749;-2,8;538;25,1;;
Nov;9,4;18.211;-1,3;607;29,1;;
Oct;9,4;19.769;6,3;643;32,9;;
Sep;9,4;19.204;1,2;620;33,6;;
Ago;9,4;14.945;1,6;524;23,3;;
Jul;9,4;18.936;3,0;584;35,8;;
Jun;9,4;20.371;4,6;629;39,5;;
May;9,4;19.005;-3,2;603;30,2;;
Abr;9,4;17.597;-5,2;585;31,2;;
Mar;9,4;19.038;-3,8;524;13,7;;
Feb;9,4;18.710;-1,4;481;10,8;;
Ene;9,4;17.153;-1,3;443;8,8;;
2011 Dic;9,4;17.224;-5,8;430; ;;
Nov;9,4;18.444;-7,4;470;2,2;;
Oct;9,4;18.598;-7,1;484;16,1;;
Sep;9,4;18.983;-9,6;464;9,4;;
Ago;9,4;14.705;-11,2;425;9,5;;
Jul;9,4;18.388;-9,7;430;-1,1;;
Jun;9,4;19.466;-7,3;451;7,6;;
May;9,4;19.633;-1,8;463;10,2;;
Abr;9,4;18.572;-4,9;446;6,7;;
Mar;9,4;19.782;0,3;461;14,4;;
Feb;9,4;18.976;-2,9;434;8,5;;
Ene;9,4;17.385;2,7;407;19,7;;
2010 Dic;9,4;18.278;0,3;430;15,0;;
Nov;9,4;19.928;2,5;460;14,4;;
Oct;9,4;20.009;-0,7;417;17,8;;
Sep;9,4;21.002;1,5;424;14,0;;
Ago;9,4;16.562;-2,0;388;37,6;;
Jul;9,4;20.370;-2,0;435;31,4;;
Jun;9,4;20.998;-1,2;419;23,2;;
May;9,4;19.988;-0,6;420;21,4;;
Abr;9,4;19.532;-3,2;418;20,1;;
Mar;9,4;19.727;-2,1;403;22,1;;
Feb;9,4;19.551;-3,7;400;22,3;;
Ene;9,4;16.930;-1,9;340;19,7;;
2009 Dic;9,4;18.220;-0,7;374;8,4;;
Nov;9,4;19.447;-1,9;402;-12,6;;
Oct;9,4;20.158;-3,4;354;-28,3;;
Sep;9,4;20.700;0,7;372;-23,5;;
Ago;9,4;16.904;1,9;282;-24,4;;
Jul;9,4;20.781;2,5;331;-26,6;;
Jun;9,4;21.260;-2,1;340;-37,5;;
May;9,4;20.103;-2,9;346;-30,5;;
Abr;9,4;20.180;-8,7;348;-35,2;;
Mar;9,4;20.156;3,5;330;-31,3;;
Feb;9,4;20.308;-5,5;327;-46,5;;
Ene;9,4;17.265;-13,1;284;-47,0;;
2008 Dic;9,4;18.356;-3,0;345;-22,6;;
Nov;9,4;19.827;-8,8;460;-9,6;;
Oct;9,4;20.876;-6,9;494;-17,1;;
Sep;9,4;20.555;19,2;486;-4,5;;
Ago;9,4;16.591;-3,8;373;-26,7;;
Jul;9,4;20.273;-1,3;451;-28,3;;
Jun;9,4;21.710;1,4;544;-23,3;;
May;9,4;20.698;5,4;498;-23,9;;
Abr;9,4;22.099;15,0;537;-6,4;;
Mar;9,4;19.478;-9,0;480;-26,4;;
Feb;9,4;21.496;2,9;611;-8,7;;
Ene;9,4;19.861;3,8;536;-12,4;;
2007 Dic;9,4;18.926;4,6;446;-11,2;;
Nov;9,4;21.736;5,8;509;-15,4;;
Oct;9,4;22.429;29,8;596;22,6;;
Sep;9,4;17.248;-11,0;509;-38,8;;
Ago;9,4;17.248;10,6;509;-30,2;;
Jul;9,4;20.550;9,0;629;-13,7;;
Jun;9,4;21.410;3,8;709;-3,8;;
May;9,4;19.642;0,0;654;-8,7;;
Abr;9,4;19.212;3,3;574;-9,3;;
Mar;9,4;21.408;7,4;652;-16,5;;
Feb;9,4;20.882;11,9;669;-6,3;;
Ene;9,4;19.130;54,3;612;59,4;;
2006 Dic;9,4;18.093;58,2;502;36,8;;
Nov;9,4;20.538;81,0;602;35,0;;
Oct;9,4;17.286;52,4;486;23,0;;
Sep;9,4;19.376;71,5;832;110,1;;
Ago;9,4;15.592;99,7;729;321,4;;
Jul;9,4;18.848;124,0;729;243,9;;
Jun;9,4;20.628;107,4;737;194,8;;
May;9,4;19.640; ;716; ;;
Abr;9,4;18.603; ;633; ;;
Mar;9,4;19.930; ;781; ;;
Feb;9,4;18.660; ;714; ;;
Ene;9,4;12.394; ;384; ;;
