;;;;;;;
;;;;;;;
TRÁFICO EN AUTOPISTAS ESTATALES DE PEAJE;;;;;;;
;;;;;;;
OCAÑA-LA RODA;;;;;;;
;;;;;;;
;;;;;;;
2016;127,5;2.944;3,1;174;9,4;;
2015;127,5;2.855;-0,7;159;9,7;;
2014;127,5;2.876;2,6;145;3,6;;
2013;127,5;2.802;-7,1;140;-2,8;;
2012;127,5;3.015;-19,0;144;-19,6;;
2011;127,5;3.724;-7,0;179;-13,1;;
2010;127,5;4.003;-9,9;206;-9,6;;
2009;127,5;4.441;-6,9;228;-16,5;;
2008;127,5;4.770;2,7;273;4,2;;
2007;127,5;4.646;10,8;262;46,4;;
2006;127,5;4.194; ;179; ;;
;;;;;;;
2017 Mar;127,5;2.472;-32,4;192;15,0;;
Feb;127,5;1.644;4,1;179;5,3;;
Ene;127,5;1.538;4,3;175;13,6;;
2016 Dic;127,5;2.156;3,1;164;1,2;;
Nov;127,5;1.888;7,9;188;13,9;;
Oct;127,5;2.224;-5,4;182;7,1;;
Sep;127,5;3.027;16,0;188;12,6;;
Ago;127,5;5.827;2,8;147;7,3;;
Jul;127,5;5.766;20,0;154; ;;
Jun;127,5;2.834;-10,4;204;11,5;;
May;127,5;2.662;-7,4;190;15,9;;
Abr;127,5;2.078;-44,8;180;23,3;;
Mar;127,5;3.658;68,1;167;3,1;;
Feb;127,5;1.579;7,0;170;4,9;;
Ene;127,5;1.475;5,8;154;12,4;;
2015 Dic;127,5;2.092;3,5;162;14,1;;
Nov;127,5;1.749;-1,2;165;13,0;;
Oct;127,5;2.350;20,0;170;10,4;;
Sep;127,5;2.609;-7,4;167;9,9;;
Ago;127,5;5.667;-6,7;137;7,9;;
Jul;127,5;4.805;6,5;154;16,7;;
Jun;127,5;3.163;4,7;183;13,0;;
May;127,5;2.874;-8,3;164;3,1;;
Abr;127,5;3.762;-13,3;146;1,4;;
Mar;127,5;2.176;25,2;162;18,2;;
Feb;127,5;1.476;-5,3;162;9,5;;
Ene;127,5;1.394;-4,5;137;1,5;;
2014 Dic;127,5;2.022;0,9;142;15,4;;
Nov;127,5;1.770;-9,6;146;-0,7;;
Oct;127,5;1.958;-1,1;154;-1,9;;
Sep;127,5;2.816;-3,5;152;4,1;;
Ago;127,5;6.077;8,3;127;6,7;;
Jul;127,5;4.511;-1,3;132;-0,8;;
Jun;127,5;3.020;5,6;162;0,6;;
May;127,5;3.135;6,5;159;2,6;;
Abr;127,5;4.340;107,4;144;2,9;;
Mar;127,5;1.738;-50,0;137;7,9;;
