;;;;;;;
;;;;;;;
TRÁFICO EN AUTOPISTAS ESTATALES DE PEAJE;;;;;;;
;;;;;;;
MADRID-TOLEDO;;;;;;;
;;;;;;;
;;;;;;;
2016;49,7;881;12,2;26;4,0;;
2015;49,7;785;4,0;25;19,0;;
2014;49,7;755;-42,6;21;-47,5;;
2013;58,8;1.316;-7,6;40;-2,4;;
2012;58,8;1.424;-22,1;41;-22,6;;
2011;58,8;1.828;-7,4;53;-5,4;;
2010;58,8;1.974;-16,5;56;-20,0;;
2009;58,8;2.364;-17,4;70;-23,9;;
2008;58,8;2.861;3,3;92;-9,8;;
2007;58,8;2.770;59,1;102;292,3;;
2006;58,8;1.741; ;26; ;;
;;;;;;;
2017 Mar;49,7;993;15,9;26;-18,8;;
Feb;49,7;905;14,4;29;3,6;;
Ene;49,7;857;16,9;26;36,8;;
2016 Dic;49,7;999;17,5;26; ;;
Nov;49,7;1.039;16,5;27; ;;
Oct;49,7;1.077;18,6;26; ;;
Sep;49,7;899;11,7;27; ;;
Ago;49,7;616;5,5;19; ;;
Jul;49,7;850;12,9;26;-18,8;;
Jun;49,7;905;12,4;27; ;;
May;49,7;902;3,7;26; ;;
Abr;49,7;899;4,8;27; ;;
Mar;49,7;857;15,8;32;23,1;;
Feb;49,7;791;12,4;28;27,3;;
Ene;49,7;733;11,9;19; ;;
2015 Dic;49,7;850;5,6;26;36,8;;
Nov;49,7;892;10,0;27;35,0;;
Oct;49,7;908;12,0;26; ;;
Sep;49,7;805;6,2;27; ;;
Ago;49,7;584;1,0;19; ;;
Jul;49,7;753;2,7;32;68,4;;
Jun;49,7;805;0,9;27;35,0;;
May;49,7;870;4,7;26;36,8;;
Abr;49,7;858; ;27; ;;
Mar;49,7;740;3,6;26;36,8;;
Feb;49,7;704;-48,2;22;-52,2;;
Ene;49,7;655;-47,2;19;-50,0;;
2014 Dic;49,7;805;-40,3;19;-47,2;;
Nov;49,7;811;-41,7;20;-41,2;;
