;;;;;;;
;;;;;;;
TRÁFICO EN AUTOPISTAS ESTATALES DE PEAJE;;;;;;;
;;;;;;;
CARTAGENA-VERA;;;;;;;
;;;;;;;
;;;;;;;
2016;112,6;3.340;9,7;405;11,3;;
2015;112,6;3.045;7,7;364;10,6;;
2014;112,6;2.828;3,3;329;5,1;;
2013;112,6;2.737;-2,9;313;2,6;;
2012;112,6;2.820;-10,2;305;-10,0;;
2011;112,6;3.142;-4,4;339;3,0;;
2010;112,6;3.288;3,6;329;3,1;;
2009;112,6;3.174;-3,4;319;-6,5;;
2008;112,6;3.285;3,3;341;8,3;;
2007;112,6;3.179; ;315; ;;
;;;;;;;
2017 Mar;112,6;3.162;7,4;518;25,7;;
Feb;112,6;2.952;7,6;482;5,7;;
Ene;112,6;2.698;8,7;433;2,1;;
2016 Dic;112,6;2.635;6,1;398;3,6;;
Nov;112,6;2.714;9,7;391;13,0;;
Oct;112,6;2.982;4,7;352;8,6;;
Sep;112,6;3.620;14,7;340;17,2;;
Ago;112,6;5.219;6,7;392;17,0;;
Jul;112,6;4.709;9,4;421;7,9;;
Jun;112,6;3.661;8,9;432;12,2;;
May;112,6;3.231;10,8;392;14,0;;
Abr;112,6;3.087;5,5;453;14,1;;
Mar;112,6;2.945;18,7;412;6,5;;
Feb;112,6;2.743;12,1;456;8,8;;
Ene;112,6;2.483;13,5;424;14,9;;
2015 Dic;112,6;2.483;12,5;384;13,6;;
Nov;112,6;2.474;10,2;346;9,1;;
Oct;112,6;2.847;11,9;324;6,6;;
Sep;112,6;3.155;4,3;290;1,0;;
Ago;112,6;4.889;5,3;335;10,2;;
Jul;112,6;4.305;8,2;390;17,5;;
Jun;112,6;3.362;9,8;385;19,2;;
May;112,6;2.916;10,2;344;6,2;;
Abr;112,6;2.927;6,2;397;7,3;;
Mar;112,6;2.481;4,7;387;10,9;;
Feb;112,6;2.448;6,6;419;11,7;;
Ene;112,6;2.188;4,0;369;10,8;;
2014 Dic;112,6;2.208;7,3;338;18,2;;
Nov;112,6;2.246;2,0;317;6,0;;
Oct;112,6;2.544;2,2;304;5,6;;
Sep;112,6;3.025;6,7;287;10,0;;
Ago;112,6;4.643;2,9;304;3,1;;
Jul;112,6;3.979;0,3;332;-1,8;;
Jun;112,6;3.063;0,9;323;4,2;;
May;112,6;2.647;1,4;324;-0,6;;
Abr;112,6;2.756;9,2;370;-1,3;;
Mar;112,6;2.369;-1,2;349;6,7;;
Feb;112,6;2.296;2,7;375;3,6;;
Ene;112,6;2.103;9,9;333;13,3;;
2013 Dic;112,6;2.057;9,5;286;20,2;;
Nov;112,6;2.202;11,2;299;20,6;;
Oct;112,6;2.489;9,1;288;16,6;;
Sep;112,6;2.836;-4,2;261;-3,7;;
Ago;112,6;4.514;-1,8;295;2,4;;
Jul;112,6;3.966;-4,4;338;7,3;;
Jun;112,6;3.037;-7,4;310;-7,2;;
May;112,6;2.611;-4,8;326;-1,2;;
Abr;112,6;2.524;-8,0;375;8,4;;
Mar;112,6;2.398;-5,1;327;-9,7;;
Feb;112,6;2.235;-7,0;362;2,5;;
Ene;112,6;1.914;-15,3;294;-13,0;;
2012 Dic;112,6;1.878;-19,1;238;-26,1;;
Nov;112,6;1.981;-18,1;248;-22,5;;
Oct;112,6;2.281;-17,4;247;-20,1;;
Sep;112,6;2.961;-12,2;271;-10,3;;
Ago;112,6;4.599;-8,5;288;-9,1;;
