;;;;;;;
;;;;;;;
TRÁFICO EN AUTOPISTAS ESTATALES DE PEAJE;;;;;;;
;;;;;;;
CIRCUNVALACION ALICANTE;;;;;;;
;;;;;;;
;;;;;;;
2016;33,2;6.103;8,8;342;13,2;;
2015;33,2;5.610;5,8;302;4,9;;
2014;33,2;5.303;0,1;288;5,5;;
2013;33,2;5.298;-7,3;273;-9,9;;
2012;33,2;5.715;-12,5;303;-19,4;;
2011;33,2;6.533;-10,0;376;-14,9;;
2010;33,2;7.256;-9,1;442;-14,5;;
2009;33,2;7.985;-20,1;517;-32,7;;
2008;33,2;9.990;18,5;768;3,4;;
2007;33,2;8.427; ;743; ;;
;;;;;;;
2017 Mar;33,2;5.276;-6,9;389;17,9;;
Feb;33,2;4.733;12,0;344;6,8;;
Ene;33,2;4.440;14,2;389;43,0;;
2016 Dic;33,2;4.664;4,8;311;6,9;;
Nov;33,2;4.809;11,9;361;16,1;;
Oct;33,2;5.344;7,4;350;9,0;;
Sep;33,2;6.697;14,4;351;12,9;;
Ago;33,2;11.009;3,3;350;20,3;;
Jul;33,2;10.017;13,4;379;11,5;;
Jun;33,2;6.285;6,3;382;19,0;;
May;33,2;5.509;8,6;350;16,3;;
Abr;33,2;4.950;-10,0;341;9,6;;
Mar;33,2;5.665;29,3;330;6,1;;
Feb;33,2;4.227;13,9;322;15,0;;
Ene;33,2;3.887;12,4;272;16,7;;
2015 Dic;33,2;4.450;10,9;291;11,1;;
Nov;33,2;4.297;9,4;311;14,8;;
Oct;33,2;4.975;11,8;321;13,8;;
Sep;33,2;5.853;3,2;311;6,9;;
Ago;33,2;10.659;2,7;291;7,0;;
Jul;33,2;8.832;8,2;340;5,9;;
Jun;33,2;5.914;6,3;321;3,2;;
May;33,2;5.072;7,2;301;-3,2;;
Abr;33,2;5.502;-3,5;311;-3,1;;
Mar;33,2;4.382;13,3;311;18,7;;
Feb;33,2;3.711;1,6;280;-0,4;;
Ene;33,2;3.459;3,5;233;-7,2;;
2014 Dic;33,2;4.013;4,6;262;1,6;;
Nov;33,2;3.926;-1,2;271;-1,1;;
Oct;33,2;4.450;1,4;282;-1,4;;
Sep;33,2;5.673;-0,6;291;6,6;;
Ago;33,2;10.377;-0,7;272;0,7;;
Jul;33,2;8.162;0,1;321;5,6;;
Jun;33,2;5.562;-2,1;311;2,6;;
May;33,2;4.732;-1,9;311;9,9;;
Abr;33,2;5.703;30,6;321;18,0;;
Mar;33,2;3.867;-20,3;262;0,8;;
Feb;33,2;3.651;0,3;281;7,3;;
Ene;33,2;3.343;-2,9;251;3,7;;
2013 Dic;33,2;3.838;-2,5;258;11,7;;
Nov;33,2;3.972; ;274;0,4;;
Oct;33,2;4.387;-5,1;286;-4,3;;
Sep;33,2;5.705;-4,2;273;-6,2;;
Ago;33,2;10.448;1,8;270;-7,2;;
