;;;;;;;
;;;;;;;
TRÁFICO EN AUTOPISTAS ESTATALES DE PEAJE;;;;;;;
;;;;;;;
ALTO DE LAS PEDRIZAS-MALAGA;;;;;;;
;;;;;;;
;;;;;;;
2016;28,0;13.152;13,4;1.315;14,8;;
2015;28,0;11.602;23,6;1.145;16,1;;
2014;28,0;9.384;15,1;986;12,6;;
2013;28,0;8.150;-0,9;876;-0,7;;
2012;28,0;8.227;0,8;882;61,8;;
2011;28,0;8.159; ;545; ;;
2010; ; ; ; ; ;;
;;;;;;;
;;;;;;;
2017 Mar;28,0;12.369;-2,0;1.542;20,8;;
Feb;28,0;11.962;8,8;1.414;16,1;;
Ene;28,0;10.873;9,6;1.266;17,0;;
2016 Dic;28,0;12.081;6,5;1.312;14,0;;
Nov;28,0;11.307;7,1;1.403;16,8;;
Oct;28,0;12.173;11,5;1.312;9,6;;
Sep;28,0;13.245;15,0;1.344;9,7;;
Ago;28,0;19.111;7,6;1.358;15,7;;
Jul;28,0;18.663;18,5;1.404;8,9;;
Jun;28,0;12.912;15,4;1.427;20,0;;
May;28,0;12.864;13,7;1.312;16,3;;
Abr;28,0;11.687;6,1;1.332;20,4;;
Mar;28,0;12.622;25,4;1.277;14,4;;
Feb;28,0;10.996;19,7;1.218;16,6;;
Ene;28,0;9.918;19,6;1.082;17,6;;
2015 Dic;28,0;11.345;20,0;1.151;19,2;;
Nov;28,0;10.558;26,1;1.201;21,7;;
Oct;28,0;10.919;18,9;1.197;15,5;;
Sep;28,0;11.521;25,2;1.225;19,9;;
Ago;28,0;17.765;17,0;1.174;15,9;;
Jul;28,0;15.752;26,9;1.289;17,9;;
Jun;28,0;11.188;22,5;1.189;16,3;;
May;28,0;11.310;25,2;1.128;12,7;;
Abr;28,0;11.010;16,2;1.106;12,1;;
Mar;28,0;10.068;32,4;1.116;18,3;;
Feb;28,0;9.185;30,2;1.045;15,5;;
Ene;28,0;8.296;33,4;920;7,9;;
2014 Dic;28,0;9.458;29,4;966;17,7;;
Nov;28,0;8.370;27,9;987;16,0;;
Oct;28,0;9.182;30,8;1.036;12,0;;
Sep;28,0;9.202;14,8;1.022;11,5;;
Ago;28,0;15.188;10,3;1.013;11,0;;
Jul;28,0;12.415;10,7;1.093;12,2;;
Jun;28,0;9.131;7,1;1.022;10,2;;
May;28,0;9.032;7,0;1.001;4,3;;
Abr;28,0;9.476;27,4;987;8,8;;
Mar;28,0;7.605;5,2;943;19,7;;
Feb;28,0;7.056;12,9;905;14,4;;
Ene;28,0;6.220;7,3;853;13,6;;
2013 Dic;28,0;7.309;5,2;821;15,8;;
Nov;28,0;6.542;5,9;851;9,7;;
Oct;28,0;7.018;0,6;925;15,8;;
Sep;28,0;8.014;4,2;917;18,9;;
Ago;28,0;13.765;12,3;913;18,1;;
Jul;28,0;11.213;-0,8;974;18,1;;
Jun;28,0;8.528;-0,8;927;17,2;;
May;28,0;8.444;8,0;960;26,1;;
Abr;28,0;7.436;-8,0;907;29,2;;
Mar;28,0;7.232;-5,8;788;5,9;;
Feb;28,0;6.249;-15,9;791;12,8;;
Ene;28,0;5.798;-27,7;751;7,7;;
2012 Dic;28,0;6.946;-19,2;709;9,6;;
Nov;28,0;6.177;-19,7;776;57,1;;
Oct;28,0;6.979;-15,4;799;447,3;;
Sep;28,0;7.691; ;771; ;;
Ago;28,0;12.253; ;773; ;;
Jul;28,0;11.299; ;825; ;;
Jun;28,0;8.593; ;791; ;;
May;28,0;7.816; ;761; ;;
Abr;28,0;8.086; ;702; ;;
Mar;28,0;7.677; ;744; ;;
Feb;28,0;7.432; ;701; ;;
Ene;28,0;8.019; ;697; ;;
2011 Dic;28,0;8.594; ;647; ;;
Nov;28,0;7.697; ;494; ;;
Oct;28,0;8.245; ;146; ;;
;;;;;;;
"""Fuente: M.Fomento""";;;;;;;
;;;;;;;
Variación respecto al mismo periodo del año anterior;;;;;;;
;;;;;;;
*;;;;;;;
