"","Mes_numeric","IMD_total","nombre"
"1",ene. 1990,19110,"06020101_montmelo_la_junquera"
"2",feb. 1990,20015,"06020101_montmelo_la_junquera"
"3",mar. 1990,21410,"06020101_montmelo_la_junquera"
"4",abr. 1990,27033,"06020101_montmelo_la_junquera"
"5",may. 1990,24587,"06020101_montmelo_la_junquera"
"6",jun. 1990,29435,"06020101_montmelo_la_junquera"
"7",jul. 1990,40134,"06020101_montmelo_la_junquera"
"8",ago. 1990,42259,"06020101_montmelo_la_junquera"
"9",sep. 1990,28636,"06020101_montmelo_la_junquera"
"10",oct. 1990,23184,"06020101_montmelo_la_junquera"
"11",nov. 1990,21756,"06020101_montmelo_la_junquera"
"12",dic. 1990,21723,"06020101_montmelo_la_junquera"
"13",ene. 1991,19795,"06020101_montmelo_la_junquera"
"14",feb. 1991,19946,"06020101_montmelo_la_junquera"
"15",mar. 1991,24671,"06020101_montmelo_la_junquera"
"16",abr. 1991,24957,"06020101_montmelo_la_junquera"
"17",may. 1991,26696,"06020101_montmelo_la_junquera"
"18",jun. 1991,30378,"06020101_montmelo_la_junquera"
"19",jul. 1991,40572,"06020101_montmelo_la_junquera"
"20",ago. 1991,44741,"06020101_montmelo_la_junquera"
"21",sep. 1991,30167,"06020101_montmelo_la_junquera"
"22",oct. 1991,24763,"06020101_montmelo_la_junquera"
"23",nov. 1991,23204,"06020101_montmelo_la_junquera"
"24",dic. 1991,22890,"06020101_montmelo_la_junquera"
"25",ene. 1992,20180,"06020101_montmelo_la_junquera"
"26",feb. 1992,21667,"06020101_montmelo_la_junquera"
"27",mar. 1992,23262,"06020101_montmelo_la_junquera"
"28",abr. 1992,29430,"06020101_montmelo_la_junquera"
"29",may. 1992,28136,"06020101_montmelo_la_junquera"
"30",jun. 1992,30325,"06020101_montmelo_la_junquera"
"31",jul. 1992,39375,"06020101_montmelo_la_junquera"
"32",ago. 1992,44660,"06020101_montmelo_la_junquera"
"33",sep. 1992,30827,"06020101_montmelo_la_junquera"
"34",oct. 1992,25920,"06020101_montmelo_la_junquera"
"35",nov. 1992,23834,"06020101_montmelo_la_junquera"
"36",dic. 1992,23899,"06020101_montmelo_la_junquera"
"37",ene. 1993,22050,"06020101_montmelo_la_junquera"
"38",feb. 1993,21877,"06020101_montmelo_la_junquera"
"39",mar. 1993,22959,"06020101_montmelo_la_junquera"
"40",abr. 1993,28283,"06020101_montmelo_la_junquera"
"41",may. 1993,27624,"06020101_montmelo_la_junquera"
"42",jun. 1993,28724,"06020101_montmelo_la_junquera"
"43",jul. 1993,41710,"06020101_montmelo_la_junquera"
"44",ago. 1993,43037,"06020101_montmelo_la_junquera"
"45",sep. 1993,29828,"06020101_montmelo_la_junquera"
"46",oct. 1993,25222,"06020101_montmelo_la_junquera"
"47",nov. 1993,22220,"06020101_montmelo_la_junquera"
"48",dic. 1993,23238,"06020101_montmelo_la_junquera"
"49",ene. 1994,20827,"06020101_montmelo_la_junquera"
"50",feb. 1994,21863,"06020101_montmelo_la_junquera"
"51",mar. 1994,25691,"06020101_montmelo_la_junquera"
"52",abr. 1994,27269,"06020101_montmelo_la_junquera"
"53",may. 1994,28505,"06020101_montmelo_la_junquera"
"54",jun. 1994,30104,"06020101_montmelo_la_junquera"
"55",jul. 1994,42512,"06020101_montmelo_la_junquera"
"56",ago. 1994,41874,"06020101_montmelo_la_junquera"
"57",sep. 1994,29820,"06020101_montmelo_la_junquera"
"58",oct. 1994,25575,"06020101_montmelo_la_junquera"
"59",nov. 1994,23504,"06020101_montmelo_la_junquera"
"60",dic. 1994,24282,"06020101_montmelo_la_junquera"
"61",ene. 1995,21739,"06020101_montmelo_la_junquera"
"62",feb. 1995,22840,"06020101_montmelo_la_junquera"
"63",mar. 1995,24021,"06020101_montmelo_la_junquera"
"64",abr. 1995,30294,"06020101_montmelo_la_junquera"
"65",may. 1995,27277,"06020101_montmelo_la_junquera"
"66",jun. 1995,29907,"06020101_montmelo_la_junquera"
"67",jul. 1995,40840,"06020101_montmelo_la_junquera"
"68",ago. 1995,41874,"06020101_montmelo_la_junquera"
"69",sep. 1995,28886,"06020101_montmelo_la_junquera"
"70",oct. 1995,24054,"06020101_montmelo_la_junquera"
"71",nov. 1995,21036,"06020101_montmelo_la_junquera"
"72",dic. 1995,21423,"06020101_montmelo_la_junquera"
"73",ene. 1996,19912,"06020101_montmelo_la_junquera"
"74",feb. 1996,20104,"06020101_montmelo_la_junquera"
"75",mar. 1996,22362,"06020101_montmelo_la_junquera"
"76",abr. 1996,27280,"06020101_montmelo_la_junquera"
"77",may. 1996,25800,"06020101_montmelo_la_junquera"
"78",jun. 1996,29536,"06020101_montmelo_la_junquera"
"79",jul. 1996,39251,"06020101_montmelo_la_junquera"
"80",ago. 1996,43764,"06020101_montmelo_la_junquera"
"81",sep. 1996,28708,"06020101_montmelo_la_junquera"
